Date	Team	Opponent	Game	Result	Score	ATS	Spread	OU	Total	
5-Oct-24	Missouri	@ Texas A&M	REG	L	41-10	L	2.5	O	47.5	
12-Oct-24	Missouri	@ Massachusetts	REG	W	45-3	W	-27.5	U	53.5	
19-Oct-24	Missouri	vs Auburn	REG	W	21-17	W	-3.5	U	49.5	
26-Oct-24	Missouri	@ Alabama	REG	L	34-0	L	16	U	51.5	
9-Nov-24	Missouri	vs Oklahoma	REG	W	30-23	W	3	O	42.5	
16-Nov-24	Missouri	@ South Carolina	REG	L	34-30	W	10.5	O	42.5	
23-Nov-24	Missouri	@ Mississippi State	REG	W	39-20	W	-9.5	O	57.5	
30-Nov-24	Missouri	vs Arkansas	REG	W	28-21	W	-3	U	51	
30-Dec-24	Missouri	vs Iowa	PST	W	27-24	W	-1	O	41	
31-Aug-23	Missouri	vs South Dakota	REG	W	35-10	L	-27	O	44.5	
9-Sep-23	Missouri	vs Middle Tennessee	REG	W	23-19	L	-21	U	47.5	
16-Sep-23	Missouri	vs Kansas State	REG	W	30-27	W	3.5	O	47.5	
23-Sep-23	Missouri	vs Memphis	REG	W	34-27	W	-6.5	O	52	
30-Sep-23	Missouri	@ Vanderbilt	REG	W	38-21	W	-14	O	53.5	
7-Oct-23	Missouri	vs Louisiana State	REG	L	49-39	L	6	O	63.5	
14-Oct-23	Missouri	@ Kentucky	REG	W	38-21	W	1.5	O	50.5	
21-Oct-23	Missouri	vs South Carolina	REG	W	34-12	W	-7.5	U	57.5	
4-Nov-23	Missouri	@ Georgia	REG	L	30-21	W	14	U	55	
11-Nov-23	Missouri	vs Tennessee	REG	W	36-7	W	2	U	59	
18-Nov-23	Missouri	vs Florida	REG	W	33-31	L	-12.5	O	56	
24-Nov-23	Missouri	@ Arkansas	REG	W	48-14	W	-9.5	O	53.5	
29-Dec-23	Missouri	@ Ohio State	PST	W	14-3	W	4	U	51	
31-Aug-24	Navy	vs Bucknell	REG	W	49-21	L	-31.5	O	48.5	
7-Sep-24	Navy	vs Temple	REG	W	38-11	W	-11.5	O	42.5	
21-Sep-24	Navy	vs Memphis	REG	W	56-44	W	9	O	47	
28-Sep-24	Navy	@ Alabama-Birmingham	REG	W	41-18	W	-4.5	O	56.5	
5-Oct-24	Navy	@ Air Force	REG	W	34-7	W	-10	O	37	
19-Oct-24	Navy	vs Charlotte	REG	W	51-17	W	-16.5	O	57.5	
26-Oct-24	Navy	vs Notre Dame	REG	L	51-14	L	13.5	O	50.5	
2-Nov-24	Navy	@ Rice	REG	L	24-10	L	-12.5	U	49.5	
9-Nov-24	Navy	@ South Florida	REG	W	28-7	W	-4.5	U	58.5	
16-Nov-24	Navy	vs Tulane	REG	L	35-0	L	7	U	49	
29-Nov-24	Navy	@ East Carolina	REG	W	34-20	W	3	U	54.5	
14-Dec-24	Navy	@ Army	REG	W	31-13	W	6.5	O	39.5	
27-Dec-24	Navy	vs Oklahoma	PST	W	21-20	W	1	U	44	
26-Aug-23	Navy	@ Notre Dame	REG	L	42-3	L	20.5	U	49.5	
9-Sep-23	Navy	vs Wagner	REG	W	24-0	L	-42.5	U	49.5	
14-Sep-23	Navy	@ Memphis	REG	L	28-24	W	11.5	O	47	
30-Sep-23	Navy	vs South Florida	REG	L	44-30	L	-3.5	O	54	
7-Oct-23	Navy	vs North Texas	REG	W	27-24	L	-6.5	U	60.5	
14-Oct-23	Navy	@ Charlotte	REG	W	14-0	W	-3.5	U	45	
21-Oct-23	Navy	vs Air Force	REG	L	17-6	P	11	U	34	
4-Nov-23	Navy	@ Temple	REG	L	32-18	L	-6.5	O	46	
11-Nov-23	Navy	vs Alabama-Birmingham	REG	W	31-6	W	2.5	U	51.5	
18-Nov-23	Navy	vs East Carolina	REG	W	10-0	W	-2.5	U	30.5	
25-Nov-23	Navy	@ Southern Methodist	REG	L	59-14	L	20	O	46	
9-Dec-23	Navy	vs Army	REG	L	17-11	L	2.5	P	28	
29-Aug-24	NC State	vs Western Carolina	REG	W	38-21	L	-32	U	61.5	
7-Sep-24	NC State	vs Tennessee	REG	L	51-10	L	8.5	O	60	
14-Sep-24	NC State	vs Louisiana Tech	REG	W	30-20	L	-20.5	O	48	
21-Sep-24	NC State	@ Clemson	REG	L	59-35	L	17.5	O	44	
28-Sep-24	NC State	vs Northern Illinois	REG	W	24-17	L	-7.5	U	46.5	
5-Oct-24	NC State	vs Wake Forest	REG	L	34-30	L	-3.5	O	52.5	
12-Oct-24	NC State	vs Syracuse	REG	L	24-17	L	1	U	51.5	
19-Oct-24	NC State	@ California	REG	W	24-23	W	9.5	O	46	
2-Nov-24	NC State	vs Stanford	REG	W	59-28	W	-9.5	O	46.5	
9-Nov-24	NC State	vs Duke	REG	L	29-19	L	-3	U	51.5	
21-Nov-24	NC State	@ Georgia Tech	REG	L	30-29	W	7.5	O	51.5	
30-Nov-24	NC State	@ North Carolina	REG	W	35-30	W	2	O	54.5	
28-Dec-24	NC State	vs East Carolina	PST	L	26-21	L	-7	U	61	
31-Aug-23	NC State	@ Connecticut	REG	W	24-14	L	-14.5	U	48	
9-Sep-23	NC State	vs Notre Dame	REG	L	45-24	L	7	O	49.5	
16-Sep-23	NC State	vs VMI	REG	W	45-7	L	-43.5	U	53	
22-Sep-23	NC State	@ Virginia	REG	W	24-21	L	-8	U	47	
29-Sep-23	NC State	vs Louisville	REG	L	13-10	P	3	U	56.5	
7-Oct-23	NC State	vs Marshall	REG	W	48-41	W	-6.5	O	44	
14-Oct-23	NC State	@ Duke	REG	L	24-3	L	4	U	42.5	
28-Oct-23	NC State	vs Clemson	REG	W	24-17	W	10	U	44	
4-Nov-23	NC State	vs Miami-FL	REG	W	20-6	W	6.5	U	44	
11-Nov-23	NC State	@ Wake Forest	REG	W	26-6	W	-1.5	U	42.5	
18-Nov-23	NC State	@ Virginia Tech	REG	W	35-28	W	2.5	O	41	
25-Nov-23	NC State	vs North Carolina	REG	W	39-20	W	2.5	O	56	
28-Dec-23	NC State	@ Kansas State	PST	L	28-19	L	3	U	49	
31-Aug-24	Nebraska	vs Texas El Paso	REG	W	40-7	W	-27.5	U	48.5	
7-Sep-24	Nebraska	vs Colorado	REG	W	28-10	W	-6.5	U	55	
14-Sep-24	Nebraska	vs Northern Iowa	REG	W	34-3	W	-30.5	U	50.5	
20-Sep-24	Nebraska	vs Illinois	REG	L	31-24	L	-9.5	O	42.5	
28-Sep-24	Nebraska	@ Purdue	REG	W	28-10	W	-10	U	47	
5-Oct-24	Nebraska	vs Rutgers	REG	W	14-7	P	-7	U	39.5	
19-Oct-24	Nebraska	@ Indiana	REG	L	56-7	L	6.5	O	49	
26-Oct-24	Nebraska	@ Ohio State	REG	L	21-17	W	25	U	48.5	
2-Nov-24	Nebraska	vs California-Los Angeles	REG	L	27-20	L	-7.5	O	38.5	
16-Nov-24	Nebraska	@ Southern California	REG	L	28-20	L	6.5	U	51	
23-Nov-24	Nebraska	vs Wisconsin	REG	W	44-25	W	-1.5	O	41	
29-Nov-24	Nebraska	@ Iowa	REG	L	13-10	P	3	U	41.5	
28-Dec-24	Nebraska	vs Boston College	PST	W	20-15	W	-3.5	U	47.5	
31-Aug-23	Nebraska	@ Minnesota	REG	L	13-10	W	7.5	U	43	
9-Sep-23	Nebraska	@ Colorado	REG	L	36-14	L	2.5	U	56.5	
16-Sep-23	Nebraska	vs Northern Illinois	REG	W	35-11	W	-11.5	O	42.5	
23-Sep-23	Nebraska	vs Louisiana Tech	REG	W	28-14	L	-20.5	U	44.5	
30-Sep-23	Nebraska	vs Michigan	REG	L	45-7	L	17.5	O	40	
6-Oct-23	Nebraska	@ Illinois	REG	W	20-7	W	3	U	41.5	
21-Oct-23	Nebraska	vs Northwestern	REG	W	17-9	L	-11	U	40	
28-Oct-23	Nebraska	vs Purdue	REG	W	31-14	W	1.5	O	39.5	
4-Nov-23	Nebraska	@ Michigan State	REG	L	20-17	L	-3	O	35	
11-Nov-23	Nebraska	vs Maryland	REG	L	13-10	L	2	U	42.5	
18-Nov-23	Nebraska	@ Wisconsin	REG	L	24-17	P	7	O	36.5	
24-Nov-23	Nebraska	vs Iowa	REG	L	13-10	L	-2.5	U	26	
24-Aug-24	Nevada	vs Southern Methodist	REG	L	29-24	W	28	U	55.5	
31-Aug-24	Nevada	@ Troy	REG	W	28-26	W	7.5	O	44.5	
7-Sep-24	Nevada	vs Georgia Southern	REG	L	20-17	L	-1	U	56.5	
14-Sep-24	Nevada	@ Minnesota	REG	L	27-0	L	16.5	U	44.5	
21-Sep-24	Nevada	vs Eastern Washington	REG	W	49-16	W	-13.5	O	55.5	
5-Oct-24	Nevada	@ San Jose State	REG	L	35-31	W	7.5	O	51	
12-Oct-24	Nevada	vs Oregon State	REG	W	42-37	W	3	O	46.5	
18-Oct-24	Nevada	vs Fresno State	REG	L	24-21	P	3	U	50	
27-Oct-24	Nevada	@ Hawaii	REG	L	34-13	L	2.5	O	41.5	
2-Nov-24	Nevada	vs Colorado State	REG	L	38-21	L	2	O	45.5	
9-Nov-24	Nevada	@ Boise State	REG	L	28-21	W	23.5	U	61.5	
23-Nov-24	Nevada	vs Air Force	REG	L	22-19	L	-3	U	44.5	
30-Nov-24	Nevada	@ Nevada-Las Vegas	REG	L	38-14	L	17.5	U	54.5	
2-Sep-23	Nevada	@ Southern California	REG	L	66-14	L	38	O	63.5	
9-Sep-23	Nevada	vs Idaho	REG	L	33-6	L	5	U	50.5	
16-Sep-23	Nevada	vs Kansas	REG	L	31-24	W	28	U	58	
23-Sep-23	Nevada	@ Texas State	REG	L	35-24	W	17	U	59.5	
30-Sep-23	Nevada	@ Fresno State	REG	L	27-9	W	25.5	U	50.5	
14-Oct-23	Nevada	vs Nevada-Las Vegas	REG	L	45-27	L	7.5	O	51.5	
21-Oct-23	Nevada	@ San Diego State	REG	W	6-0	W	11	U	48.5	
28-Oct-23	Nevada	vs New Mexico	REG	W	34-24	W	1	O	49.5	
4-Nov-23	Nevada	vs Hawaii	REG	L	27-14	L	-3.5	U	50	
11-Nov-23	Nevada	@ Utah State	REG	L	41-24	L	14.5	O	54.5	
18-Nov-23	Nevada	@ Colorado State	REG	L	30-20	W	12	O	45	
25-Nov-23	Nevada	vs Wyoming	REG	L	42-6	L	11.5	O	41.5	
24-Aug-24	New Mexico	vs Montana State	REG	L	35-31	W	13.5	O	54.5	
31-Aug-24	New Mexico	@ Arizona	REG	L	61-39	W	28	O	60.5	
14-Sep-24	New Mexico	@ Auburn	REG	L	45-19	L	24	O	58	
21-Sep-24	New Mexico	vs Fresno State	REG	L	38-21	L	12	U	61	
28-Sep-24	New Mexico	@ New Mexico State	REG	W	50-40	W	-9	O	54	
12-Oct-24	New Mexico	vs Air Force	REG	W	52-37	W	-6.5	O	55.5	
19-Oct-24	New Mexico	@ Utah State	REG	W	50-45	W	-1	O	78.5	
26-Oct-24	New Mexico	@ Colorado State	REG	L	17-6	L	3.5	U	62	
2-Nov-24	New Mexico	vs Wyoming	REG	L	49-45	L	-7.5	O	60.5	
8-Nov-24	New Mexico	@ San Diego State	REG	W	21-16	W	1.5	U	65.5	
16-Nov-24	New Mexico	vs Washington State	REG	W	38-35	W	10.5	O	72.5	
30-Nov-24	New Mexico	@ Hawaii	REG	L	38-30	L	-6.5	O	59.5	
2-Sep-23	New Mexico	@ Texas A&M	REG	L	52-10	L	38	O	49.5	
9-Sep-23	New Mexico	vs Tennessee Tech	REG	W	56-10	W	-16.5	O	51.5	
16-Sep-23	New Mexico	vs New Mexico State	REG	L	27-17	L	-2.5	U	52	
23-Sep-23	New Mexico	@ Massachusetts	REG	W	34-31	W	3	O	48.5	
30-Sep-23	New Mexico	@ Wyoming	REG	L	35-26	W	14.5	O	40.5	
14-Oct-23	New Mexico	vs San Jose State	REG	L	52-24	L	6.5	O	55	
21-Oct-23	New Mexico	vs Hawaii	REG	W	42-21	W	1.5	O	60	
28-Oct-23	New Mexico	@ Nevada	REG	L	34-24	L	-1	O	49.5	
4-Nov-23	New Mexico	vs Nevada-Las Vegas	REG	L	56-14	L	15	O	58	
11-Nov-23	New Mexico	@ Boise State	REG	L	42-14	L	27.5	U	59.5	
18-Nov-23	New Mexico	@ Fresno State	REG	W	25-17	W	22	U	58	
24-Nov-23	New Mexico	vs Utah State	REG	L	44-41	W	4.5	O	59	
31-Aug-24	New Mexico State	vs Southeast Missouri State	REG	W	23-16	L	-9.5	U	52.5	
7-Sep-24	New Mexico State	vs Liberty	REG	L	30-24	W	22.5	P	54	
14-Sep-24	New Mexico State	@ Fresno State	REG	L	48-0	L	20	O	47.5	
21-Sep-24	New Mexico State	@ Sam Houston State	REG	L	31-11	L	15	U	44.5	
28-Sep-24	New Mexico State	vs New Mexico	REG	L	50-40	L	9	O	54	
9-Oct-24	New Mexico State	@ Jacksonville State	REG	L	54-13	L	21	O	59	
15-Oct-24	New Mexico State	vs Louisiana Tech	REG	W	33-30	W	12.5	O	49	
29-Oct-24	New Mexico State	@ Florida International	REG	L	34-13	L	7	O	43.5	
9-Nov-24	New Mexico State	vs Western Kentucky	REG	L	41-28	W	17.5	O	53.5	
16-Nov-24	New Mexico State	@ Texas A&M	REG	L	38-3	W	38.5	U	54.5	
23-Nov-24	New Mexico State	@ Middle Tennessee	REG	W	36-21	W	3.5	O	53.5	
30-Nov-24	New Mexico State	vs Texas El Paso	REG	L	42-35	L	-3	O	51.5	
26-Aug-23	New Mexico State	vs Massachusetts	REG	L	41-30	L	-7	O	45	
2-Sep-23	New Mexico State	vs Western Illinois	REG	W	58-21	W	-21	O	55	
9-Sep-23	New Mexico State	@ Liberty	REG	L	33-17	L	9.5	U	54.5	
16-Sep-23	New Mexico State	@ New Mexico	REG	W	27-17	W	2.5	U	52	
24-Sep-23	New Mexico State	@ Hawaii	REG	L	20-17	W	3.5	U	55	
4-Oct-23	New Mexico State	vs Florida International	REG	W	34-17	W	-6.5	O	49	
11-Oct-23	New Mexico State	vs Sam Houston State	REG	W	27-13	W	-4	U	42.5	
18-Oct-23	New Mexico State	@ Texas El Paso	REG	W	28-7	W	-3	U	48.5	
24-Oct-23	New Mexico State	@ Louisiana Tech	REG	W	27-24	W	3	U	55	
4-Nov-23	New Mexico State	vs Middle Tennessee	REG	W	13-7	W	-3	U	55.5	
11-Nov-23	New Mexico State	@ Western Kentucky	REG	W	38-29	W	4.5	O	54	
18-Nov-23	New Mexico State	@ Auburn	REG	W	31-10	W	25	U	48	
25-Nov-23	New Mexico State	vs Jacksonville State	REG	W	20-17	W	2.5	U	48	
1-Dec-23	New Mexico State	@ Liberty	REG	L	49-35	L	10	O	58	
16-Dec-23	New Mexico State	@ Fresno State	PST	L	37-10	L	-3	U	52	
31-Aug-24	NIU	vs Western Illinois	REG	W	54-15	W	-35.5	O	54.5	
7-Sep-24	NIU	@ Notre Dame	REG	W	16-14	W	28	U	47.5	
21-Sep-24	NIU	vs Buffalo	REG	L	23-20	L	-13	O	42.5	
28-Sep-24	NIU	@ North Carolina State	REG	L	24-17	W	7.5	U	46.5	
5-Oct-24	NIU	vs Massachusetts	REG	W	34-20	P	-14	O	41.5	
12-Oct-24	NIU	@ Bowling Green	REG	W	17-7	W	3	U	46.5	
19-Oct-24	NIU	vs Toledo	REG	L	13-6	L	-3	U	42.5	
26-Oct-24	NIU	@ Ball State	REG	L	25-23	L	-13.5	O	47.5	
6-Nov-24	NIU	@ Western Michigan	REG	W	42-28	W	-2	O	52	
13-Nov-24	NIU	vs Akron	REG	W	29-16	L	-14	O	43.5	
19-Nov-24	NIU	@ Miami-OH	REG	L	20-9	L	1	U	42.5	
30-Nov-24	NIU	vs Central Michigan	REG	W	24-16	L	-13.5	P	40	
23-Dec-24	NIU	@ Fresno State	PST	W	28-20	W	-2.5	O	41	
2-Sep-23	NIU	@ Boston College	REG	W	27-24	W	8	O	50	
9-Sep-23	NIU	vs Southern Illinois	REG	L	14-11	L	-8.5	U	59.5	
16-Sep-23	NIU	@ Nebraska	REG	L	35-11	L	11.5	O	42.5	
23-Sep-23	NIU	vs Tulsa	REG	L	22-14	L	-3.5	U	54.5	
30-Sep-23	NIU	@ Toledo	REG	L	35-33	W	13.5	O	48	
7-Oct-23	NIU	@ Akron	REG	W	55-14	W	-4.5	O	42.5	
14-Oct-23	NIU	vs Ohio	REG	W	23-13	W	5.5	U	45	
21-Oct-23	NIU	vs Eastern Michigan	REG	W	20-13	L	-11.5	U	43.5	
31-Oct-23	NIU	@ Central Michigan	REG	L	37-31	L	-6.5	O	48	
7-Nov-23	NIU	vs Ball State	REG	L	20-17	L	-9	U	43.5	
14-Nov-23	NIU	vs Western Michigan	REG	W	24-0	W	-4.5	U	56.5	
25-Nov-23	NIU	@ Kent State	REG	W	37-27	L	-20.5	O	45	
23-Dec-23	NIU	vs Arkansas State	PST	W	21-19	W	2.5	U	53.5	
29-Aug-24	North Carolina	@ Minnesota	REG	W	19-17	P	-2	U	53	
7-Sep-24	North Carolina	vs Charlotte	REG	W	38-20	L	-21	O	48	
14-Sep-24	North Carolina	vs North Carolina Central	REG	W	45-10	L	-37.5	U	56	
21-Sep-24	North Carolina	vs James Madison	REG	L	70-50	L	-11	O	48.5	
28-Sep-24	North Carolina	@ Duke	REG	L	21-20	L	-1.5	U	55.5	
5-Oct-24	North Carolina	vs Pittsburgh	REG	L	34-24	L	2.5	U	63.5	
12-Oct-24	North Carolina	vs Georgia Tech	REG	L	41-34	L	3.5	O	61	
26-Oct-24	North Carolina	@ Virginia	REG	W	41-14	W	3.5	U	58.5	
2-Nov-24	North Carolina	@ Florida State	REG	W	35-11	W	-2.5	U	50.5	
16-Nov-24	North Carolina	vs Wake Forest	REG	W	31-24	L	-10.5	U	64	
23-Nov-24	North Carolina	@ Boston College	REG	L	41-21	L	-2.5	O	51	
30-Nov-24	North Carolina	vs North Carolina State	REG	L	35-30	L	-2	O	54.5	
28-Dec-24	North Carolina	vs Connecticut	PST	L	27-14	L	-2	U	53.5	
2-Sep-23	North Carolina	@ South Carolina	REG	W	31-17	W	-2.5	U	63.5	
9-Sep-23	North Carolina	vs Appalachian State	REG	W	40-34	L	-19.5	O	58	
16-Sep-23	North Carolina	vs Minnesota	REG	W	31-13	W	-7	U	52	
23-Sep-23	North Carolina	@ Pittsburgh	REG	W	41-24	W	-7	O	49.5	
7-Oct-23	North Carolina	vs Syracuse	REG	W	40-7	W	-9.5	U	59	
14-Oct-23	North Carolina	vs Miami-FL	REG	W	41-31	W	-3	O	57	
21-Oct-23	North Carolina	vs Virginia	REG	L	31-27	L	-24	P	58	
28-Oct-23	North Carolina	@ Georgia Tech	REG	L	46-42	L	-12	O	65.5	
4-Nov-23	North Carolina	vs Campbell	REG	W	59-7	W	-38.5	U	68.5	
11-Nov-23	North Carolina	vs Duke	REG	W	47-45	L	-10	O	53.5	
18-Nov-23	North Carolina	@ Clemson	REG	L	31-20	L	7.5	U	59.5	
25-Nov-23	North Carolina	@ North Carolina State	REG	L	39-20	L	-2.5	O	56	
27-Dec-23	North Carolina	@ West Virginia	PST	L	30-10	L	4.5	U	62	
31-Aug-24	North Texas	@ South Alabama	REG	W	52-38	W	6	O	61.5	
7-Sep-24	North Texas	vs Stephen F. Austin	REG	W	35-20	L	-23.5	U	72.5	
14-Sep-24	North Texas	@ Texas Tech	REG	L	66-21	L	10.5	O	70.5	
21-Sep-24	North Texas	vs Wyoming	REG	W	44-17	W	-7	O	55	
28-Sep-24	North Texas	vs Tulsa	REG	W	52-20	W	-7	O	66.5	
12-Oct-24	North Texas	@ Florida Atlantic	REG	W	41-37	L	-5.5	O	58.5	
19-Oct-24	North Texas	@ Memphis	REG	L	52-44	W	10.5	O	68	
26-Oct-24	North Texas	vs Tulane	REG	L	45-37	L	7.5	O	70.5	
9-Nov-24	North Texas	vs Army	REG	L	14-3	L	6.5	U	68	
15-Nov-24	North Texas	@ Texas-San Antonio	REG	L	48-27	L	1.5	O	73	
23-Nov-24	North Texas	vs East Carolina	REG	L	40-28	L	-2.5	U	74.5	
30-Nov-24	North Texas	@ Temple	REG	W	24-17	L	-11.5	U	63.5	
3-Jan-25	North Texas	@ Texas State	PST	L	30-28	W	15.5	U	66.5	
2-Sep-23	North Texas	vs California	REG	L	58-21	L	5	O	53.5	
9-Sep-23	North Texas	@ Florida International	REG	L	46-39	L	-11	O	51.5	
16-Sep-23	North Texas	@ Louisiana Tech	REG	W	40-37	W	4.5	O	66.5	
30-Sep-23	North Texas	vs Abilene Christian	REG	W	45-31	L	-15.5	O	69	
7-Oct-23	North Texas	@ Navy	REG	L	27-24	W	6.5	U	60.5	
14-Oct-23	North Texas	vs Temple	REG	W	45-14	W	-7.5	U	65.5	
21-Oct-23	North Texas	@ Tulane	REG	L	35-28	W	20	U	63.5	
28-Oct-23	North Texas	vs Memphis	REG	L	45-42	W	6.5	O	69	
4-Nov-23	North Texas	vs Texas-San Antonio	REG	L	37-29	P	8	U	70	
10-Nov-23	North Texas	@ Southern Methodist	REG	L	45-21	L	21	U	67	
18-Nov-23	North Texas	@ Tulsa	REG	W	35-28	W	-2	U	69	
25-Nov-23	North Texas	vs Alabama-Birmingham	REG	W	45-42	W	-2	O	73	
31-Aug-24	Northwestern	vs Miami-OH	REG	W	13-6	W	-3	U	40.5	
6-Sep-24	Northwestern	vs Duke	REG	L	26-20	L	-2.5	O	37	
14-Sep-24	Northwestern	vs Eastern Illinois	REG	W	31-7	L	-24.5	O	37.5	
21-Sep-24	Northwestern	@ Washington	REG	L	24-5	L	12	U	42.5	
5-Oct-24	Northwestern	vs Indiana	REG	L	41-24	L	13	O	40.5	
11-Oct-24	Northwestern	@ Maryland	REG	W	37-10	W	10.5	O	45.5	
19-Oct-24	Northwestern	vs Wisconsin	REG	L	23-3	L	9.5	U	42.5	
26-Oct-24	Northwestern	@ Iowa	REG	L	40-14	L	16.5	O	38	
2-Nov-24	Northwestern	@ Purdue	REG	W	26-20	W	2.5	O	44.5	
16-Nov-24	Northwestern	vs Ohio State	REG	L	31-7	W	28	U	43.5	
23-Nov-24	Northwestern	@ Michigan	REG	L	50-6	L	10.5	O	35.5	
30-Nov-24	Northwestern	vs Illinois	REG	L	38-28	L	8.5	O	43.5	
3-Sep-23	Northwestern	@ Rutgers	REG	L	24-7	L	5	U	38.5	
9-Sep-23	Northwestern	vs Texas El Paso	REG	W	38-7	W	-1	O	39.5	
16-Sep-23	Northwestern	@ Duke	REG	L	38-14	L	17	O	48	
23-Sep-23	Northwestern	vs Minnesota	REG	W	37-34	W	11.5	O	39.5	
30-Sep-23	Northwestern	vs Penn State	REG	L	41-13	L	26.5	O	47.5	
7-Oct-23	Northwestern	vs Howard	REG	W	23-20	L	-23.5	U	52	
21-Oct-23	Northwestern	@ Nebraska	REG	L	17-9	W	11	U	40	
28-Oct-23	Northwestern	vs Maryland	REG	W	33-27	W	14.5	O	48.5	
4-Nov-23	Northwestern	vs Iowa	REG	L	10-7	W	5	U	31.5	
11-Nov-23	Northwestern	@ Wisconsin	REG	W	24-10	W	12	U	43.5	
18-Nov-23	Northwestern	vs Purdue	REG	W	23-15	W	-2.5	U	47.5	
25-Nov-23	Northwestern	@ Illinois	REG	W	45-43	W	5.5	O	47	
23-Dec-23	Northwestern	vs Utah	PST	W	14-7	W	7	U	44	
31-Aug-24	Notre Dame	@ Texas A&M	REG	W	23-13	W	3	U	47	
7-Sep-24	Notre Dame	vs Northern Illinois	REG	L	16-14	L	-28	U	47.5	
14-Sep-24	Notre Dame	@ Purdue	REG	W	66-7	W	-7.5	O	47	
21-Sep-24	Notre Dame	vs Miami-OH	REG	W	28-3	L	-27.5	U	43.5	
28-Sep-24	Notre Dame	vs Louisville	REG	W	31-24	W	-6.5	O	45.5	
12-Oct-24	Notre Dame	vs Stanford	REG	W	49-7	W	-22.5	O	45.5	
19-Oct-24	Notre Dame	@ Georgia Tech	REG	W	31-13	W	-14	U	50	
26-Oct-24	Notre Dame	@ Navy	REG	W	51-14	W	-13.5	O	50.5	
9-Nov-24	Notre Dame	vs Florida State	REG	W	52-3	W	-25.5	O	43.5	
16-Nov-24	Notre Dame	vs Virginia	REG	W	35-14	W	-20.5	U	51	
23-Nov-24	Notre Dame	vs Army	REG	W	49-14	W	-14.5	O	44.5	
30-Nov-24	Notre Dame	@ Southern California	REG	W	49-35	W	-7	O	53	
20-Dec-24	Notre Dame	vs Indiana	PST	W	27-17	W	-7	U	50.5	
2-Jan-25	Notre Dame	@ Georgia	PST	W	23-10	W	-1	U	45.5	
9-Jan-25	Notre Dame	@ Penn State	PST	W	27-24	W	1	O	45.5	
20-Jan-25	Notre Dame	vs Ohio State	PST	L	34-23	L	8.5	O	46	
26-Aug-23	Notre Dame	vs Navy	REG	W	42-3	W	-20.5	U	49.5	
2-Sep-23	Notre Dame	vs Tennessee State	REG	W	56-3	W	-49	O	55	
9-Sep-23	Notre Dame	@ North Carolina State	REG	W	45-24	W	-7	O	49.5	
16-Sep-23	Notre Dame	vs Central Michigan	REG	W	41-17	L	-35	O	51	
23-Sep-23	Notre Dame	vs Ohio State	REG	L	17-14	P	3	U	55.5	
30-Sep-23	Notre Dame	@ Duke	REG	W	21-14	W	-5.5	U	53	
7-Oct-23	Notre Dame	@ Louisville	REG	L	33-20	L	-6.5	U	53.5	
14-Oct-23	Notre Dame	vs Southern California	REG	W	48-20	W	-3	O	60.5	
28-Oct-23	Notre Dame	vs Pittsburgh	REG	W	58-7	W	-21	O	45.5	
4-Nov-23	Notre Dame	@ Clemson	REG	L	31-23	L	-3.5	O	43.5	
18-Nov-23	Notre Dame	vs Wake Forest	REG	W	45-7	W	-24	O	47.5	
25-Nov-23	Notre Dame	@ Stanford	REG	W	56-23	W	-26	O	50.5	
29-Dec-23	Notre Dame	vs Oregon State	PST	W	40-8	W	-5.5	O	40.5	
31-Aug-24	Ohio	@ Syracuse	REG	L	38-22	W	17	O	44.5	
7-Sep-24	Ohio	vs South Alabama	REG	W	27-20	W	1	U	55.5	
14-Sep-24	Ohio	vs Morgan State	REG	W	21-6	L	-25.5	U	46.5	
21-Sep-24	Ohio	@ Kentucky	REG	L	41-6	L	21	O	41.5	
28-Sep-24	Ohio	vs Akron	REG	W	30-10	W	-8.5	U	46.5	
12-Oct-24	Ohio	@ Central Michigan	REG	W	27-25	L	-3	O	50	
19-Oct-24	Ohio	@ Miami-OH	REG	L	30-20	L	3.5	O	43.5	
26-Oct-24	Ohio	vs Buffalo	REG	W	47-16	W	-3.5	O	46.5	
6-Nov-24	Ohio	@ Kent State	REG	W	41-0	W	-20.5	U	53	
13-Nov-24	Ohio	vs Eastern Michigan	REG	W	35-10	W	-10.5	U	51.5	
20-Nov-24	Ohio	@ Toledo	REG	W	24-7	W	1.5	U	46.5	
29-Nov-24	Ohio	vs Ball State	REG	W	42-21	W	-17.5	O	51.5	
7-Dec-24	Ohio	@ Miami-OH	REG	W	38-3	W	2	U	44	
20-Dec-24	Ohio	@ Jacksonville State	PST	W	30-27	L	-6.5	U	57.5	
26-Aug-23	Ohio	@ San Diego State	REG	L	20-13	L	2	U	48.5	
2-Sep-23	Ohio	vs LIU	REG	W	27-10	L	-36	U	58	
9-Sep-23	Ohio	@ Florida Atlantic	REG	W	17-10	W	3.5	U	62	
16-Sep-23	Ohio	vs Iowa State	REG	W	10-7	W	1.5	U	42	
23-Sep-23	Ohio	@ Bowling Green	REG	W	38-7	W	-13	U	45.5	
7-Oct-23	Ohio	vs Kent State	REG	W	42-17	W	-24.5	O	45	
14-Oct-23	Ohio	@ Northern Illinois	REG	L	23-13	L	-5.5	U	45	
21-Oct-23	Ohio	vs Western Michigan	REG	W	20-17	L	-16.5	U	52	
28-Oct-23	Ohio	vs Miami-OH	REG	L	30-16	L	-7.5	O	39	
7-Nov-23	Ohio	@ Buffalo	REG	W	20-10	W	-9	U	45	
