Rank,Team,Rating,v 1-10,v 11-25,v 26-40,Hi,Lo,Last,Season
68,California (5-7),0.5,0-0,0-0,0-2,50,82,65,2021
69,TCU (5-7),0.2,0-2,1-Jan,0-2,19,73,70,2021
70,E Carolina (7-5),-0.2,0-1,0-0,0-2,65,88,68,2021
71,Toledo (7-6),-0.3,0-1,0-0,0-0,51,79,66,2021
72,Virginia Tech (6-7),-0.6,0-1,0-1,0-1,25,72,55,2021
73,Boston College (6-6),-0.8,0-1,0-2,0-0,33,73,69,2021
74,San Diego St (12-2),-1.2,0-0,Jan-00,Jan-00,67,98,77,2021
75,Tulsa (7-6),-1.2,0-3,0-0,0-1,56,94,75,2021
76,Missouri (6-7),-1.4,0-1,0-2,2-Jan,42,83,76,2021
77,Syracuse (5-7),-1.7,0-1,0-3,0-0,59,106,74,2021
78,Memphis (6-6),-2.6,0-0,0-0,1-Jan,51,81,79,2021
79,W Michigan (8-5),-2.7,0-1,Jan-00,0-0,64,93,85,2021
80,C Michigan (9-4),-2.8,0-0,0-0,0-1,75,98,80,2021
81,Utah St (11-3),-3.1,0-0,0-0,0-1,80,121,84,2021
82,Rutgers (5-8),-3.2,0-3,0-3,0-0,35,92,78,2021
83,Tulane (2-10),-4,0-2,0-1,0-1,29,90,82,2021
84,Indiana (2-10),-4.2,0-3,0-4,0-1,19,84,83,2021
85,Colorado (4-8),-4.4,0-0,0-3,0-3,58,90,81,2021
86,Miami OH (7-6),-4.6,0-1,0-1,0-0,83,101,87,2021
87,Georgia St (8-5),-4.6,0-0,0-1,0-1,85,112,89,2021
88,Georgia Tech (3-9),-5,0-3,0-1,0-1,47,88,86,2021
89,Stanford (3-9),-5.7,0-1,0-1,3-Jan,53,89,88,2021
90,Navy (4-8),-6.2,0-2,0-0,0-1,89,121,90,2021
91,Middle Tenn (7-6),-7.3,0-0,0-0,0-0,91,113,95,2021
92,Wyoming (7-6),-7.4,0-0,0-0,0-1,78,100,94,2021
93,Northwestern (3-9),-7.6,0-2,0-4,0-1,52,93,91,2021
94,Florida Atlantic (5-7),-8.9,0-0,0-0,0-1,73,97,96,2021
95,N Illinois (9-5),-9,0-1,0-0,0-0,94,114,97,2021
96,E Michigan (7-6),-9.4,0-1,0-0,0-0,85,98,93,2021
97,Ball St (6-7),-9.5,0-0,0-1,0-0,69,107,92,2021
98,N Texas (6-7),-10.4,0-0,0-0,0-0,98,117,98,2021
99,Troy (5-7),-10.5,0-0,0-0,0-1,62,101,100,2021
100,Colorado St (3-9),-10.6,0-0,0-0,0-2,87,121,99,2021
101,S Florida (2-10),-10.9,0-1,0-1,0-2,98,113,102,2021
102,Buffalo (4-8),-11,0-0,0-1,0-0,59,104,103,2021
103,Kent St (7-7),-11.2,0-0,0-1,0-1,90,105,101,2021
104,Hawai'i (6-7),-11.2,0-0,0-0,0-1,101,110,104,2021
105,Old Dominion (6-7),-11.3,0-0,0-1,0-0,103,123,105,2021
106,Arizona (1-11),-12,0-0,0-1,0-3,92,113,106,2021
107,S Alabama (5-7),-12.5,0-0,0-0,0-2,96,116,107,2021
108,San Jose St (5-7),-13,0-0,0-0,0-0,76,108,108,2021
109,Louisiana Tech (3-9),-13.5,0-0,0-1,0-1,92,111,109,2021
110,UTEP (7-6),-13.9,0-0,0-0,0-1,109,123,110,2021
111,Ohio (3-9),-15.4,0-0,0-0,0-0,83,120,111,2021
112,Georgia So (3-9),-15.5,0-0,0-1,0-1,95,115,112,2021
113,Charlotte (5-7),-17.7,0-0,0-0,0-0,101,118,116,2021
114,Kansas (2-10),-17.8,0-2,0-2,1-Jan,114,127,117,2021
115,UNLV (2-10),-17.8,0-0,0-1,0-1,114,127,114,2021
116,Duke (3-9),-17.9,0-0,0-2,0-1,92,116,113,2021
117,Vanderbilt (2-10),-18,0-1,0-1,0-4,106,122,115,2021
118,Southern Miss (3-9),-18.6,0-1,0-0,0-0,102,124,118,2021
119,Rice (4-8),-18.6,0-0,0-1,0-2,97,123,120,2021
120,Arkansas St (2-10),-18.8,0-0,0-0,0-1,98,120,119,2021
121,Texas St (4-8),-18.9,0-0,0-1,0-0,100,122,121,2021
122,UL Monroe (4-8),-19,0-0,0-0,0-3,121,127,122,2021
123,Bowling Green (4-8),-20.7,0-0,Jan-00,0-1,115,128,123,2021
124,New Mexico (3-9),-22.3,0-0,0-1,0-1,117,124,124,2021
125,Temple (3-9),-24.7,0-1,0-0,0-1,111,125,125,2021
126,Akron (2-10),-27.3,0-1,0-1,0-0,124,128,126,2021
127,New Mexico St (2-10),-27.4,0-1,0-0,0-1,126,130,127,2021
128,Florida Intl (1-11),-28,0-0,0-0,0-0,108,128,128,2021
129,UConn (1-11),-28.9,0-1,0-1,0-1,124,130,129,2021
130,UMass (1-11),-34,0-0,0-1,0-0,127,130,130,2021
1,Georgia (15-0),33.5,Mar-00,Mar-00,Feb-00,1,3,1,2022
2,Ohio St (11-2),29.8,2-Jan,Jan-00,Mar-00,1,3,2,2022
3,Alabama (11-2),29.6,2-Feb,Feb-00,Feb-00,1,3,3,2022
4,Tennessee (11-2),26.2,1-Feb,Jan-00,1-Feb,4,14,5,2022
5,Michigan (13-1),25.5,Feb-00,1-Jan,Feb-00,4,6,4,2022
6,Penn St (11-2),21.6,2-Jan,Jan-00,Jan-00,6,18,7,2022
7,Texas (8-5),20.5,1-Jan,3-Jan,1-Jan,4,14,6,2022
8,Utah (10-4),18.8,0-1,1-Mar,0-2,5,17,9,2022
9,LSU (10-4),18.7,2-Jan,1-Feb,1-Feb,9,29,13,2022
10,Kansas St (10-4),18.2,0-2,1-Mar,1-Feb,7,35,8,2022
11,TCU (13-2),17.2,2-Mar,Feb-00,Feb-00,8,38,10,2022
12,Florida St (10-3),16.6,Jan-00,1-Feb,2-Jan,11,40,12,2022
13,Clemson (11-3),16.6,0-1,1-Feb,1-Feb,4,14,11,2022
14,USC (11-3),14.8,0-2,Feb-00,1-Jan,4,14,14,2022
15,Mississippi St (9-4),14.8,0-3,Feb-00,Feb-00,11,21,16,2022
16,Oregon (10-3),14.2,1-Jan,0-2,Jan-00,12,46,15,2022
17,Notre Dame (9-4),13.4,0-1,1-Jan,Jan-00,6,27,17,2022
18,Minnesota (9-4),12.5,0-1,0-1,1-Jan,10,36,20,2022
19,Washington (11-2),12.5,Jan-00,Feb-00,0-1,18,48,23,2022
20,Oregon St (10-3),12.3,0-1,2-Jan,Jan-00,19,54,25,2022
21,Mississippi (8-5),12.1,0-2,0-2,1-Jan,10,24,19,2022
22,Louisville (8-5),11.8,0-0,0-2,Apr-00,21,64,24,2022
23,Oklahoma (6-7),11.8,0-2,0-3,1-Jan,5,31,21,2022
24,Illinois (8-5),11.1,0-1,1-Jan,Feb-00,22,69,22,2022
25,Texas Tech (8-5),11.1,1-Jan,1-Feb,0-3,18,46,26,2022
26,Baylor (6-7),10.8,0-2,1-Feb,0-1,10,26,18,2022
27,Tulane (12-2),10.5,Jan-00,Jan-00,1-Jan,26,74,27,2022
28,Wisconsin (7-6),10,0-1,0-2,1-Feb,11,40,29,2022
29,UCLA (9-4),8.9,Jan-00,2-Jan,0-1,23,44,31,2022
30,Iowa (8-5),8.9,0-2,1-Jan,Jan-00,25,59,40,2022
31,Florida (6-7),8.7,3-Jan,0-2,Feb-00,24,47,28,2022
32,Arkansas (7-6),8.7,0-2,1-Jan,1-Jan,20,46,33,2022
33,Wake Forest (8-5),8.5,0-0,2-Jan,0-1,21,50,36,2022
34,Maryland (8-5),8.5,0-3,0-0,1-Jan,25,52,34,2022
35,Pittsburgh (9-4),8.4,0-1,0-1,Jan-00,25,53,38,2022
36,Oklahoma St (7-6),8.3,1-Jan,2-Jan,1-Jan,8,36,30,2022
37,UCF (9-5),8,0-0,0-1,1-Jan,14,48,32,2022
38,NC State (8-5),7.9,0-0,2-Feb,1-Jan,16,39,39,2022
39,South Carolina (8-5),7.9,1-Jan,1-Jan,2-Jan,31,58,37,2022
40,Texas A&M (5-7),7.9,1-Jan,0-2,2-Jan,7,47,43,2022
41,Kentucky (7-6),7,0-2,1-Feb,2-Jan,17,49,35,2022
42,Iowa St (4-8),6.9,0-2,0-3,2-Jan,26,44,41,2022
43,Cincinnati (9-4),6.7,0-0,0-1,0-3,23,44,44,2022
44,North Carolina (9-5),5.8,0-0,0-3,1-Feb,36,54,52,2022
45,Auburn (5-7),5.8,0-4,0-2,1-Jan,27,64,51,2022
46,Syracuse (7-6),5.7,0-0,4-Jan,2-Jan,20,65,46,2022
47,Michigan St (5-7),5.6,0-3,2-Jan,1-Jan,14,52,47,2022
48,J Madison (8-3),5.3,0-0,0-1,0-0,34,96,49,2022
49,Kansas (6-7),5,0-2,0-3,2-Jan,33,97,48,2022
50,Memphis (7-6),4.9,0-0,0-1,0-2,50,76,55,2022
51,Purdue (8-6),4.8,0-3,Feb-00,2-Jan,24,52,42,2022
52,West Virginia (5-7),4.8,0-2,2-Jan,1-Feb,31,62,50,2022
53,Washington St (7-6),4.5,0-1,0-4,Jan-00,41,87,45,2022
54,Duke (9-4),4.3,0-0,0-0,1-Feb,54,116,59,2022
55,Houston (8-5),4.2,0-0,0-1,0-1,33,62,54,2022
56,SMU (7-6),4.1,0-0,0-1,0-3,23,56,53,2022
57,Fresno St (10-4),3.8,0-0,0-2,0-0,55,88,61,2022
58,Missouri (6-7),3.5,0-3,0-0,2-Feb,53,76,57,2022
59,UTSA (11-3),3.4,0-1,0-0,0-0,54,71,56,2022
60,Air Force (10-3),3.1,0-0,0-0,Jan-00,50,73,65,2022
61,Boise St (10-4),3,0-0,0-1,0-0,46,82,58,2022
62,W Kentucky (9-5),2.9,0-0,0-0,0-0,56,100,63,2022
63,BYU (8-5),2.4,0-0,0-2,1-Jan,15,64,60,2022
64,E Carolina (8-5),2.4,0-0,0-0,2-Jan,47,72,66,2022
65,App State (6-6),1.8,0-0,0-0,Jan-00,47,66,62,2022
66,Troy (12-2),1.7,0-0,0-1,0-0,63,94,67,2022
67,Marshall (9-4),1.2,0-0,Jan-00,0-0,42,73,64,2022
68,Nebraska (4-8),-0.4,0-1,0-3,1-Jan,34,84,69,2022
69,UAB (7-6),-0.6,0-1,0-0,0-0,42,70,70,2022
70,S Alabama (10-3),-0.9,0-0,0-0,0-1,61,110,68,2022
71,Miami (5-7),-1.2,0-0,0-2,0-2,11,71,71,2022
72,Navy (4-8),-2.6,0-0,0-1,Jan-00,72,118,73,2022
73,Louisiana (6-7),-2.7,0-0,0-1,0-0,68,92,72,2022
74,California (4-8),-2.9,0-0,0-5,0-1,67,85,74,2022
75,Army (6-6),-3,0-0,0-0,0-1,65,100,76,2022
76,Toledo (9-5),-3,0-1,0-0,0-0,56,82,77,2022
77,Arizona St (3-9),-3.1,0-1,2-Jan,0-2,55,83,75,2022
78,Indiana (4-8),-3.6,0-3,Jan-00,0-1,76,86,78,2022
79,Arizona (5-7),-3.7,0-1,0-4,Jan-00,74,101,79,2022
80,Stanford (3-9),-4.3,0-1,4-Jan,0-1,62,81,80,2022
81,Georgia St (4-8),-4.3,0-0,0-0,0-1,74,105,81,2022
82,Liberty (8-5),-4.6,0-0,0-0,1-Jan,61,86,82,2022
83,Virginia (3-7),-4.7,0-0,0-2,0-1,54,87,83,2022
84,Ohio (10-4),-5.2,0-1,0-0,0-0,82,113,85,2022
85,Georgia Tech (5-7),-5.3,0-1,0-3,1-Jan,85,107,88,2022
86,Tulsa (5-7),-5.3,0-0,0-1,0-1,69,96,86,2022
87,N Texas (7-7),-5.3,0-0,0-0,0-0,80,112,89,2022
88,Georgia So (6-7),-5.5,0-0,0-0,0-0,75,108,84,2022
89,Virginia Tech (3-8),-6,0-0,0-0,0-2,63,93,92,2022
90,Kent St (5-7),-6.1,0-1,0-2,0-0,76,108,95,2022
91,San Diego St (7-6),-6.2,0-1,0-0,0-0,76,109,91,2022
92,Vanderbilt (5-7),-6.2,0-3,0-1,2-Jan,78,113,93,2022
93,Coastal Car (9-4),-6.5,0-0,0-0,0-0,65,94,87,2022
94,Florida Atlantic (5-7),-6.6,0-0,0-0,0-1,82,99,94,2022
95,Southern Miss (7-6),-6.8,0-0,0-0,Jan-00,78,106,96,2022
96,San Jose St (7-5),-7,0-0,0-0,0-0,67,114,90,2022
97,Rutgers (4-8),-7,0-3,0-1,0-2,57,97,97,2022
98,Northwestern (1-11),-7.3,0-2,0-2,0-3,72,108,98,2022
99,Buffalo (7-6),-8.3,0-0,0-0,0-1,87,118,100,2022
100,Boston College (3-9),-8.5,0-0,3-Jan,1-Jan,56,105,99,2022
101,Middle Tenn (8-5),-9,0-0,0-0,0-0,86,118,101,2022
102,Old Dominion (3-9),-9.7,0-0,0-0,0-0,83,104,102,2022
103,E Michigan (9-4),-9.7,0-0,0-0,0-0,101,120,107,2022
104,C Michigan (4-8),-9.8,0-1,0-0,0-1,73,104,103,2022
105,Miami OH (6-7),-10,0-0,0-0,0-0,90,109,104,2022
106,Wyoming (7-6),-10.4,0-0,0-1,0-0,99,117,105,2022
107,S Florida (1-11),-10.9,0-0,0-1,0-3,88,110,106,2022
108,Ball St (5-7),-11.8,0-1,0-0,0-0,106,120,108,2022
109,UNLV (5-7),-11.9,0-0,0-1,0-0,87,119,109,2022
110,W Michigan (5-7),-12.4,0-0,0-0,0-1,91,118,110,2022
111,N Illinois (3-9),-12.6,0-0,0-0,0-0,80,113,113,2022
112,UTEP (5-7),-12.7,0-0,0-1,0-0,111,124,112,2022
113,Temple (3-9),-12.9,0-0,0-0,0-1,113,126,115,2022
114,Arkansas St (3-9),-13,0-1,0-0,0-0,89,120,114,2022
115,Utah St (6-7),-13.1,0-1,0-0,0-0,83,121,111,2022
116,Texas St (4-8),-14,0-0,0-0,0-1,110,124,116,2022
117,Bowling Green (6-7),-15,0-0,0-1,0-1,109,121,117,2022
118,UL Monroe (4-8),-15.1,0-2,0-0,0-0,114,124,118,2022
119,UConn (6-7),-15.2,0-1,0-0,0-1,117,128,120,2022
120,Rice (5-8),-15.6,0-0,0-1,0-0,99,124,119,2022
121,New Mexico St (7-6),-15.7,0-0,0-1,0-1,121,130,121,2022
122,Louisiana Tech (3-9),-16.7,0-0,0-1,0-0,110,122,122,2022
123,Colorado (1-11),-17.7,0-1,0-6,0-1,87,123,123,2022
124,Akron (2-10),-18.4,0-1,0-0,0-0,123,127,125,2022
125,Colorado St (3-9),-18.7,0-1,0-0,0-0,103,126,124,2022
126,Nevada (2-10),-19.3,0-0,0-0,0-1,106,126,126,2022
127,New Mexico (2-10),-20.9,0-1,0-0,0-0,111,128,128,2022
128,Charlotte (3-9),-21.3,0-0,0-0,0-2,115,128,127,2022
129,Hawai'i (3-10),-22.3,0-1,0-0,0-0,125,131,129,2022
130,UMass (1-11),-26.5,0-0,0-0,0-2,128,131,130,2022
131,Florida Intl (4-8),-29.2,0-0,0-0,0-0,128,131,131,2022
1,Michigan (15-0),30.3,Mar-00,Jan-00,Jan-00,1,13,1,2023
2,Georgia (13-1),29.7,0-1,Apr-00,Mar-00,1,10,5,2023
3,Oregon (12-2),27.1,0-0,2-Mar,Jan-00,3,15,3,2023
4,Ohio St (11-2),25.9,1-Feb,0-1,Feb-00,2,12,2,2023
5,Penn St (10-3),24.6,0-2,0-1,Jan-00,2,11,4,2023
6,Alabama (12-2),24.3,2-Feb,Mar-00,Feb-00,1,11,7,2023
7,Texas (12-2),23.9,1-Jan,1-Feb,Mar-00,3,12,6,2023
8,Notre Dame (10-3),23.6,0-1,2-Feb,Feb-00,8,15,11,2023
9,LSU (10-3),22.8,0-1,2-Feb,Mar-00,4,16,8,2023
10,Oklahoma (10-3),21.6,Jan-00,2-Jan,Feb-00,1,17,9,2023
11,Kansas St (9-4),19.5,0-1,1-Jan,1-Apr,11,25,12,2023
12,Florida St (13-1),19.2,1-Jan,Feb-00,Mar-00,1,15,10,2023
13,Washington (14-1),19.1,1-Mar,Apr-00,0-0,3,14,13,2023
14,Missouri (11-2),17.5,2-Jan,Feb-00,Feb-00,14,51,16,2023
15,Mississippi (11-2),17.3,2-Feb,Jan-00,Jan-00,11,18,15,2023
16,Tennessee (9-4),16.9,0-2,1-Jan,1-Jan,9,21,17,2023
17,Texas A&M (7-6),15.2,0-2,0-2,1-Jan,12,17,14,2023
18,USC (8-5),14,0-2,2-Feb,0-1,4,21,21,2023
19,Clemson (9-4),13.9,Jan-00,0-1,3-Feb,7,21,18,2023
20,Arizona (10-3),12.8,Jan-00,2-Feb,Jan-00,20,75,23,2023
21,SMU (11-3),12.6,0-1,0-0,0-1,17,51,19,2023
22,Oregon St (8-5),12.5,0-2,2-Jan,Jan-00,17,30,20,2023
23,Louisville (10-4),11.7,Jan-00,0-2,1-Mar,18,43,22,2023
24,Kansas (9-4),9.8,1-Jan,0-1,1-Jan,24,55,27,2023
25,Utah (8-5),9.6,0-1,3-Jan,Feb-00,16,29,25,2023
26,Miami (7-6),9.5,0-0,2-Feb,0-2,16,41,24,2023
27,Duke (8-5),9.4,0-1,2-Jan,1-Feb,19,49,29,2023
28,Maryland (8-5),9.3,0-3,0-0,Jan-00,25,47,32,2023
29,TCU (5-7),8.9,0-2,1-Jan,0-2,21,40,30,2023
30,Auburn (6-7),8.4,0-3,0-2,0-1,18,36,28,2023
31,North Carolina (8-5),8.1,0-0,0-1,1-Feb,16,33,26,2023
32,UCLA (8-5),8.1,0-0,3-Jan,0-0,18,37,37,2023
33,Kentucky (7-6),7.9,0-2,3-Jan,Jan-00,23,49,39,2023
34,NC State (9-4),7.7,0-1,2-Jan,1-Feb,33,62,35,2023
35,Florida (5-7),7.6,0-2,3-Jan,0-1,28,39,38,2023
36,Troy (11-3),7.3,0-0,0-1,0-2,35,81,36,2023
37,Iowa St (7-6),7.3,0-2,1-Jan,Jan-00,30,74,31,2023
38,Texas Tech (7-6),7.1,0-2,1-Jan,Jan-00,22,43,42,2023
39,J Madison (11-2),7,0-0,0-0,Jan-00,33,70,33,2023
40,Wisconsin (7-6),6.9,0-2,0-0,0-0,19,45,41,2023
41,West Virginia (9-4),6.8,0-2,0-0,Mar-00,36,58,44,2023
42,UCF (6-7),6.6,0-1,0-2,0-1,22,53,34,2023
43,South Carolina (5-7),6.4,0-1,0-4,2-Jan,31,52,43,2023
44,Oklahoma St (10-4),5.7,1-Jan,Mar-00,0-1,33,91,48,2023
45,Iowa (10-4),5.2,0-2,0-1,Feb-00,25,45,40,2023
46,Washington St (5-7),5,0-1,2-Jan,1-Jan,29,63,46,2023
47,Memphis (10-3),4.8,0-0,0-2,Jan-00,41,53,51,2023
48,Virginia Tech (7-6),4.8,0-0,0-2,0-1,47,91,50,2023
49,Rutgers (7-6),4.2,0-3,0-0,2-Jan,41,86,53,2023
50,Boise St (8-6),4.2,0-0,0-1,0-1,44,75,47,2023
51,Liberty (13-1),4,0-1,0-0,0-0,44,76,45,2023
52,S Alabama (7-6),4,0-0,0-0,0-2,38,82,57,2023
53,Georgia Tech (7-6),3.2,0-1,0-3,Feb-00,53,89,55,2023
54,Tulane (11-3),3.1,0-0,0-2,0-0,25,54,49,2023
55,UTSA (9-4),2.9,0-0,0-1,0-0,43,76,56,2023
56,California (6-7),2.3,0-1,0-4,2-Jan,32,64,52,2023
57,Arkansas (4-8),2.3,0-2,0-3,1-Jan,27,57,54,2023
58,Air Force (9-4),1.8,0-0,0-0,Jan-00,31,62,61,2023
59,Nebraska (5-7),1.1,0-1,0-0,0-2,49,76,60,2023
60,Toledo (11-3),0.9,0-0,0-0,0-0,31,61,58,2023
61,Mississippi St (5-7),0.9,0-2,2-Jan,0-2,31,64,62,2023
62,San Jose St (7-6),0.4,0-0,0-2,0-0,54,90,59,2023
63,Northwestern (8-5),-0.1,0-1,Jan-00,1-Feb,63,114,70,2023
64,Illinois (5-7),-0.2,0-1,0-1,1-Jan,40,80,64,2023
65,App State (9-5),-0.7,0-0,0-0,2-Jan,65,94,66,2023
66,Minnesota (6-7),-0.9,0-2,0-0,0-2,33,67,65,2023
67,Purdue (4-8),-1.1,0-2,0-0,0-1,54,75,67,2023
68,UNLV (9-5),-1.2,0-1,0-1,0-0,61,106,69,2023
69,Miami OH (11-3),-1.6,0-0,0-0,0-1,68,107,68,2023
70,BYU (5-7),-1.8,0-2,0-1,2-Jan,47,79,72,2023
71,Fresno St (9-4),-1.8,0-0,0-0,0-0,46,80,76,2023
72,Pittsburgh (3-9),-2.1,0-1,1-Jan,0-2,33,73,71,2023
73,Colorado (4-8),-2.1,0-1,0-4,1-Jan,55,99,73,2023
74,Coastal Car (8-5),-2.2,0-0,0-0,0-2,48,80,78,2023
75,Wyoming (9-4),-2.5,0-1,0-0,Jan-00,73,93,75,2023
76,Wake Forest (4-8),-2.7,0-1,0-2,0-2,48,79,74,2023
77,Ohio (10-3),-3.1,0-0,0-0,Jan-00,64,89,83,2023
78,Houston (4-8),-3.2,0-1,0-1,0-2,59,80,77,2023
79,Syracuse (6-7),-3.3,0-0,0-2,0-1,22,79,63,2023
80,Jacksonville St (9-4),-3.6,0-0,0-0,0-0,78,125,79,2023
81,Indiana (3-9),-3.8,0-3,0-1,1-Jan,71,99,80,2023
82,Boston College (7-6),-3.9,0-0,2-Jan,0-1,76,107,87,2023
83,Baylor (3-9),-3.9,0-1,0-2,0-3,29,84,82,2023
84,Cincinnati (3-9),-4.3,0-1,0-1,0-1,35,85,85,2023
85,W Kentucky (8-5),-4.4,0-1,0-0,0-1,61,86,84,2023
86,Louisiana (6-7),-5,0-0,0-0,0-1,76,96,89,2023
87,Michigan St (4-8),-5.4,0-3,0-1,0-1,48,89,88,2023
88,Rice (6-7),-5.5,0-1,0-1,0-0,79,108,81,2023
89,Bowling Green (7-6),-5.6,0-1,0-0,0-0,87,119,90,2023
90,Florida Atlantic (4-8),-6.3,0-0,0-1,0-0,67,95,91,2023
91,Texas St (8-5),-6.3,0-0,0-0,0-1,82,122,100,2023
92,Virginia (3-9),-6.3,0-0,0-2,4-Feb,86,113,92,2023
93,New Mexico St (10-5),-6.5,0-0,0-0,Jan-00,86,130,86,2023
94,Army (6-6),-7.2,0-1,0-0,0-1,62,106,94,2023
95,Arizona St (3-9),-7.3,0-1,0-4,Jan-00,74,118,95,2023
96,S Florida (7-6),-7.3,0-1,0-0,0-0,87,115,109,2023
97,Vanderbilt (2-10),-7.4,0-1,0-3,0-3,78,101,99,2023
98,Georgia St (7-6),-7.7,0-1,0-0,0-2,75,112,103,2023
99,Georgia So (6-7),-7.8,0-0,0-0,0-2,56,99,93,2023
100,Marshall (6-7),-8.1,0-0,0-0,0-2,76,103,96,2023
101,E Carolina (2-10),-8.1,0-1,0-1,0-0,83,105,97,2023
102,N Illinois (7-6),-8.6,0-0,0-0,0-0,92,119,101,2023
103,N Texas (5-7),-8.8,0-0,0-1,0-0,88,122,102,2023
104,Old Dominion (6-7),-9.1,0-0,0-0,0-1,101,126,104,2023
105,Navy (5-7),-9.3,0-1,0-1,0-0,82,107,106,2023
106,Utah St (6-7),-9.6,0-0,0-0,0-1,81,117,98,2023
107,Middle Tenn (4-8),-9.7,0-1,0-1,0-0,95,116,105,2023
108,Arkansas St (6-7),-9.7,0-1,0-0,0-1,103,132,107,2023
109,UAB (4-8),-10.5,0-1,0-0,0-0,85,112,111,2023
110,San Diego St (4-8),-10.7,0-0,0-1,0-1,73,114,108,2023
111,Stanford (3-9),-10.8,0-2,0-4,0-1,103,123,110,2023
112,Colorado St (5-7),-11.2,0-0,0-0,0-0,103,124,112,2023
113,Ball St (4-8),-13.4,0-1,0-0,0-1,106,128,114,2023
114,Tulsa (4-8),-13.5,0-1,0-2,0-0,87,119,113,2023
115,Buffalo (3-9),-13.8,0-0,0-0,0-1,92,119,115,2023
116,C Michigan (5-7),-14.2,0-1,0-0,0-0,103,119,117,2023
117,Louisiana Tech (3-9),-14.4,0-0,0-1,0-0,102,118,116,2023
118,Sam Houston (3-9),-14.6,0-0,0-0,0-0,114,127,118,2023
119,W Michigan (4-8),-14.9,0-0,0-0,0-0,110,127,119,2023
120,Southern Miss (3-9),-15,0-0,0-1,0-1,91,127,122,2023
121,UTEP (3-9),-15,0-0,0-1,0-0,113,129,120,2023
122,UConn (3-9),-15.4,0-0,0-1,0-3,107,126,123,2023
123,Charlotte (3-9),-15.7,0-0,0-1,0-2,110,126,124,2023
124,New Mexico (4-8),-16.7,0-0,0-1,0-0,120,132,125,2023
125,E Michigan (6-7),-16.9,0-0,0-0,0-0,95,125,121,2023
126,Hawai'i (5-8),-17.5,0-1,0-0,0-0,124,131,126,2023
127,Temple (3-9),-18.2,0-0,0-1,0-1,92,130,127,2023
128,UL Monroe (2-10),-19.9,0-0,0-2,0-1,113,129,129,2023
129,Florida Intl (4-8),-20.7,0-0,0-0,0-0,121,131,130,2023
130,UMass (3-9),-20.7,0-1,0-0,0-1,128,133,128,2023
131,Nevada (2-10),-20.7,0-0,0-2,0-0,124,133,131,2023
132,Akron (2-10),-21.1,0-0,0-0,0-1,120,132,132,2023
133,Kent St (1-11),-27.4,0-0,0-0,0-0,131,133,133,2023
1,Ohio St (14-2),31.3,1-Jun,1-Jan,Jan-00,1,4,1,2024
2,Notre Dame (14-2),27.4,1-Mar,Mar-00,0-0,2,13,3,2024
3,Texas (13-3),26.9,0-3,May-00,Feb-00,1,5,2,2024
4,Mississippi (10-3),26,Jan-00,2-Jan,Feb-00,3,7,4,2024
5,Alabama (9-4),24.1,1-Jan,1-Mar,1-Jan,1,6,5,2024
6,Georgia (11-3),24.1,3-Mar,Feb-00,Jan-00,1,6,6,2024
7,Penn St (13-3),23.2,0-3,Feb-00,Mar-00,6,11,9,2024
8,Oregon (13-1),22.3,1-Feb,Jan-00,Feb-00,4,21,8,2024
9,Tennessee (10-3),22.2,2-Jan,Jan-00,1-Jan,4,14,7,2024
10,Indiana (11-2),21.5,0-2,Jan-00,Jan-00,10,68,10,2024
11,Miami (10-3),18.9,0-0,1-Feb,Jan-00,7,21,11,2024
12,South Carolina (9-4),17.5,0-2,1-Mar,1-Jan,12,56,12,2024
13,LSU (9-4),16.7,1-Jan,3-Jan,Mar-00,9,20,16,2024
14,Louisville (9-4),16.4,0-1,2-Jan,0-0,12,31,13,2024
15,Clemson (10-4),16.1,0-2,2-Jan,Jan-00,8,22,15,2024
16,SMU (11-3),16,0-1,2-Jan,Jan-00,13,48,14,2024
17,Texas A&M (8-5),15.5,0-2,2-Mar,1-Jan,11,20,17,2024
18,Florida (8-5),15.4,3-Jan,2-Jan,Jan-00,18,44,18,2024
19,USC (7-6),15.1,0-2,1-Feb,1-Jan,10,23,19,2024
20,Arizona St (11-3),13.8,0-1,Feb-00,Mar-00,20,77,21,2024
21,Michigan (8-5),13.6,3-Feb,Jan-00,1-Jan,10,41,27,2024
22,Iowa (8-5),13.5,0-1,0-2,Feb-00,19,28,25,2024
23,Missouri (10-3),13.3,0-1,2-Jan,Mar-00,10,29,23,2024
24,Iowa St (11-3),13.1,0-0,1-Feb,1-Mar,14,37,26,2024
25,BYU (11-2),12.9,0-0,1-Jan,1-Apr,22,63,29,2024
26,Kansas St (9-4),12.7,0-0,0-3,Mar-00,14,27,24,2024
27,Oklahoma (6-7),12.3,3-Jan,0-3,Feb-00,9,28,22,2024
28,Colorado (9-4),12.3,0-0,0-1,3-Feb,20,79,20,2024
29,Minnesota (8-5),11.8,0-1,2-Jan,Feb-00,29,58,33,2024
30,Virginia Tech (6-7),10.4,0-0,0-2,0-1,23,50,28,2024
31,TCU (9-4),10.4,0-0,0-1,1-Feb,24,54,37,2024
32,Baylor (8-5),10.4,0-0,0-3,2-Feb,30,61,31,2024
33,Kansas (5-7),10.2,0-0,1-Feb,4-Jan,24,49,35,2024
34,Auburn (5-7),10.2,0-2,1-Jan,0-2,14,37,32,2024
35,Tulane (9-5),10.1,0-0,0-1,0-2,17,49,30,2024
