,game_id,fav_side,dog_side,full_date,away_score,home_score,away,home,ou_total,spread,ou,spread_away_cover,spread_home_cover,ml_fav,ml_dog,match_key,favorite_covered
3017,2011-11-05_Kansas State_Oklahoma State,home,away,2011-11-05,45,52,Kansas State,Oklahoma State,70.5,21.0,O,y,n,-855.2,125,Kansas State_Oklahoma State,n
3018,2011-11-05_Louisiana Lafayette_Louisiana Monroe,home,away,2011-11-05,35,36,Louisiana Monroe,Louisiana Lafayette,55.0,5.0,O,y,n,-165,175,Louisiana Lafayette_Louisiana Monroe,n
3019,2011-11-05_Louisville_West Virginia,home,away,2011-11-05,38,35,Louisville,West Virginia,52.0,13.0,O,y,n,-462.03125,110,Louisville_West Virginia,n
3020,2011-11-05_Maryland_Virginia,away,home,2011-11-05,31,13,Virginia,Maryland,53.0,3.0,U,y,n,-276.2142857142857,695.625,Maryland_Virginia,y
3021,2011-11-05_Michigan State_Minnesota,home,away,2011-11-05,24,31,Minnesota,Michigan State,48.0,28.0,O,y,n,-1864.1538461538462,1950,Michigan State_Minnesota,n
3022,2011-11-05_Navy_Troy,home,away,2011-11-05,14,42,Troy,Navy,61.5,8.5,U,y,n,-370.22222222222223,1141.0740740740741,Navy_Troy,y
3023,2011-11-05_Nebraska_Northwestern,home,away,2011-11-05,28,25,Northwestern,Nebraska,62.0,17.5,U,y,n,-678.28125,564.25,Nebraska_Northwestern,n
3024,2011-11-05_New Mexico_San Diego State,home,away,2011-11-05,7,35,New Mexico,San Diego State,57.0,35.0,U,y,n,-119,6666.666666666667,New Mexico_San Diego State,n
3025,2011-11-05_Notre Dame_Wake Forest,away,home,2011-11-05,24,17,Notre Dame,Wake Forest,57.5,13.0,U,y,n,-462.03125,577.53125,Notre Dame_Wake Forest,n
3026,2011-11-05_Oklahoma_Texas A&M,home,away,2011-11-05,25,41,Texas A&M,Oklahoma,67.5,14.5,U,y,n,-730.8421052631579,496.3421052631579,Oklahoma_Texas A&M,y
3027,2011-11-05_Oregon State_Stanford,away,home,2011-11-05,38,13,Stanford,Oregon State,61.5,21.0,U,n,y,-855.2,704.6285714285714,Oregon State_Stanford,y
3028,2011-11-05_Oregon_Washington,away,home,2011-11-05,34,17,Oregon,Washington,76.0,16.5,U,n,y,-350,539.65,Oregon_Washington,y
3029,2011-11-05_Purdue_Wisconsin,home,away,2011-11-05,17,62,Purdue,Wisconsin,59.0,27.5,O,y,n,-3594.4117647058824,1418.1176470588234,Purdue_Wisconsin,y
3030,2011-11-05_Rice_UTEP,away,home,2011-11-05,37,41,UTEP,Rice,56.5,1.5,O,y,n,-323.8360655737705,588.6229508196722,Rice_UTEP,n
3031,2011-11-05_SMU_Tulane,home,away,2011-11-05,24,45,Tulane,SMU,54.0,27.5,O,y,n,-3594.4117647058824,1418.1176470588234,SMU_Tulane,n
3032,2011-11-05_TCU_Wyoming,away,home,2011-11-05,31,20,TCU,Wyoming,56.0,19.5,U,n,y,-925,2000,TCU_Wyoming,n
