,game_id,full_date,spread,ou,ou_total,home,away,match_key,home_score,away_score,fav_side,dog_side,favorite_covered,spread_home_cover,spread_away_cover,ml_fav,ml_dog
503,2023-11-11_Georgia_Ole Miss,2023-11-11,11.5,O,58.5,Georgia,Ole Miss,Georgia_Ole Miss,52,17,away,home,n,y,n,-495.29411764705884,393.0
504,2023-11-11_Illinois_Indiana,2023-11-11,4.5,O,44.0,Illinois,Indiana,Illinois_Indiana,48,45,home,away,n,n,y,-309.2950819672131,392.8196721311475
505,2023-11-11_Iowa_Rutgers,2023-11-11,1.5,U,27.5,Iowa,Rutgers,Iowa_Rutgers,22,0,home,away,y,y,n,-323.8360655737705,588.6229508196722
506,2023-11-11_Kansas_Texas Tech,2023-11-11,3.5,U,63.0,Kansas,Texas Tech,Kansas_Texas Tech,13,16,home,away,n,n,y,-252.70491803278688,1557.639344262295
507,2023-11-11_Liberty_Old Dominion,2023-11-11,14.0,U,60.0,Liberty,Old Dominion,Liberty_Old Dominion,38,10,home,away,y,y,n,-480.8358208955224,508.25373134328356
508,2023-11-11_Louisiana Monroe_Troy,2023-11-11,21.5,O,45.5,Louisiana Monroe,Troy,Louisiana Monroe_Troy,14,45,away,home,y,n,y,-1153.3333333333333,1057.8
509,2023-11-11_Louisiana Tech_Sam Houston,2023-11-11,7.5,O,49.0,Louisiana Tech,Sam Houston,Louisiana Tech_Sam Houston,27,42,away,home,y,n,y,-367.5833333333333,977.5555555555555
510,2023-11-11_Maryland_Nebraska,2023-11-11,2.0,U,42.5,Nebraska,Maryland,Maryland_Nebraska,10,13,away,home,y,n,y,-474.98,1152.84
511,2023-11-11_Michigan State_Ohio State,2023-11-11,32.5,U,48.5,Ohio State,Michigan State,Michigan State_Ohio State,38,3,away,home,n,y,n,-12038.333333333334,3200.3333333333335
512,2023-11-11_Michigan_Penn State,2023-11-11,4.5,U,44.5,Penn State,Michigan,Michigan_Penn State,15,24,home,away,n,n,y,-309.2950819672131,392.8196721311475
513,2023-11-11_Minnesota_Purdue,2023-11-11,2.0,O,48.0,Purdue,Minnesota,Minnesota_Purdue,49,30,home,away,y,y,n,-474.98,1152.84
514,2023-11-11_Mississippi State_Texas A&M,2023-11-11,16.5,O,40.5,Texas A&M,Mississippi State,Mississippi State_Texas A&M,51,10,away,home,n,y,n,-1718.775,539.65
515,2023-11-11_Missouri_Tennessee,2023-11-11,2.0,U,59.0,Missouri,Tennessee,Missouri_Tennessee,36,7,away,home,n,y,n,-474.98,1152.84
516,2023-11-11_NC State_Wake Forest,2023-11-11,1.5,U,42.5,Wake Forest,NC State,NC State_Wake Forest,6,26,home,away,n,n,y,-323.8360655737705,588.6229508196722
517,2023-11-11_New Mexico State_Western Kentucky,2023-11-11,4.5,O,54.0,Western Kentucky,New Mexico State,New Mexico State_Western Kentucky,29,38,home,away,n,n,y,-309.2950819672131,392.8196721311475
518,2023-11-11_Northwestern_Wisconsin,2023-11-11,12.0,U,43.5,Wisconsin,Northwestern,Northwestern_Wisconsin,10,24,away,home,y,n,y,-411.86206896551727,430.82758620689657
519,2023-11-11_Oklahoma State_UCF,2023-11-11,1.5,U,64.0,UCF,Oklahoma State,Oklahoma State_UCF,45,3,away,home,n,y,n,-323.8360655737705,588.6229508196722
520,2023-11-11_Oklahoma_West Virginia,2023-11-11,13.0,O,60.0,Oklahoma,West Virginia,Oklahoma_West Virginia,59,20,home,away,y,y,n,-462.03125,577.53125
521,2023-11-11_Oregon State_Stanford,2023-11-11,21.5,O,51.5,Oregon State,Stanford,Oregon State_Stanford,62,17,away,home,n,y,n,-1153.3333333333333,1057.8
522,2023-11-11_Oregon_USC,2023-11-11,16.5,U,78.0,Oregon,USC,Oregon_USC,36,27,away,home,n,n,y,-1718.775,539.65
523,2023-11-11_Pittsburgh_Syracuse,2023-11-11,3.5,O,38.0,Syracuse,Pittsburgh,Pittsburgh_Syracuse,28,13,home,away,y,y,n,-252.70491803278688,1557.639344262295
524,2023-11-11_Rice_UTSA,2023-11-11,13.5,U,55.0,UTSA,Rice,Rice_UTSA,34,14,home,away,y,y,n,-448.22222222222223,1511.4888888888888
525,2023-11-11_TCU_Texas,2023-11-11,13.0,U,56.0,TCU,Texas,TCU_Texas,26,29,away,home,n,y,n,-462.03125,577.53125
526,2023-11-11_Temple_USF,2023-11-11,7.0,U,70.0,USF,Temple,Temple_USF,27,23,home,away,n,n,y,-470.5263157894737,1887.4812030075188
527,2023-11-11_Tulane_Tulsa,2023-11-11,25.0,U,53.0,Tulane,Tulsa,Tulane_Tulsa,24,22,home,away,n,n,y,-1559.4444444444443,1209.5555555555557
