Team	Rating	v 1-10	v 11-25	v 26-40	Hi	Lo	Last	Season
BYU 	17.8	0-0	0-0	2-1	5	46	10	2020
Iowa 	17.3	0-0	2-1	1-0	9	48	9	2020
Wisconsin 	16.9	0-0	0-3	2-0	4	14	14	2020
Cincinnati 	15.9	0-1	0-0	2-0	10	44	11	2020
Indiana 	14.1	0-1	2-0	0-1	14	37	15	2020
Oklahoma St 	14.1	1-2	1-1	2-0	5	25	19	2020
Arizona St 	13.5	0-0	0-1	0-1	17	48	17	2020
North Carolina 	13.1	0-2	1-0	2-0	11	26	16	2020
Northwestern 	12.8	0-1	3-0	0-0	13	61	24	2020
USC 	12.4	0-0	1-1	2-0	11	23	20	2020
Auburn 	12.2	0-3	0-1	2-0	7	23	18	2020
Miami 	12	0-1	0-2	3-0	8	23	21	2020
Oregon 	11	0-1	1-0	1-0	8	23	23	2020
Penn St 	10.6	0-1	0-2	0-0	6	37	25	2020
TCU 	10.6	1-2	1-0	0-1	18	43	26	2020
UCF 	10.1	0-0	0-2	0-1	8	26	22	2020
LSU 	8.8	1-2	0-1	1-0	5	32	27	2020
Mississippi 	8.4	0-2	1-1	0-1	26	47	31	2020
Wake Forest 	7.6	0-1	0-2	1-1	21	39	28	2020
Coastal Car 	7.4	0-0	1-0	1-0	26	64	29	2020
Tulsa 	6.6	0-0	0-2	1-0	19	40	30	2020
UCLA 	6.6	0-0	1-2	0-0	27	66	32	2020
West Virginia 	6.2	0-2	1-1	0-0	26	52	38	2020
Virginia Tech 	6	0-1	0-2	1-2	16	41	33	2020
Louisiana 	6	1-0	0-0	0-1	17	59	36	2020
Utah 	5.9	0-0	0-1	0-0	34	57	35	2020
Pittsburgh 	5.9	0-2	0-1	2-0	21	59	34	2020
Louisville 	5.4	0-1	0-1	1-2	23	63	37	2020
Boise St 	5.4	0-0	0-1	0-0	18	40	40	2020
Minnesota 	5.2	0-0	0-2	0-0	22	61	41	2020
Kentucky 	5.1	0-3	0-1	0-1	16	46	39	2020
Buffalo 	4.9	0-0	0-0	0-0	35	68	47	2020
Michigan 	4.7	0-0	0-3	1-0	7	45	43	2020
App State 	4.7	0-0	0-0	0-2	19	54	46	2020
Virginia 	4.4	0-1	1-1	1-2	21	54	42	2020
Washington 	4.4	0-0	0-0	1-0	27	48	44	2020
Baylor 	4.1	0-3	0-2	0-1	15	53	53	2020
Nebraska 	4	0-1	1-2	0-1	32	61	48	2020
Mississippi St 	3.2	0-3	0-1	2-1	18	68	54	2020
Tennessee 	3	0-4	0-1	0-0	14	56	52	2020
Boston College 	2.9	0-2	0-1	2-1	21	63	50	2020
Stanford 	2.8	0-0	0-1	1-0	48	64	51	2020
Tulane 	2.5	0-0	0-0	0-2	35	66	45	2020
Arkansas 	2.4	0-4	0-1	1-1	42	65	55	2020
NC State 	2.1	0-0	0-2	2-1	35	56	56	2020
Missouri 	2.1	0-3	0-0	1-0	39	59	57	2020
Kansas St 	2	1-2	1-1	0-1	26	64	60	2020
California 	1.4	0-0	1-0	0-1	36	71	58	2020
Purdue 	1.3	0-0	1-1	0-1	43	66	61	2020
SMU 	1	0-0	0-1	0-1	25	61	59	2020
Air Force 	0.6	0-0	0-0	0-1	28	75	62	2020
Houston 	0.5	0-0	0-2	0-1	23	63	49	2020
Ball St 	0.4	0-0	0-0	0-0	63	103	75	2020
UAB 	0.1	0-0	0-1	0-1	42	71	63	2020
Liberty 	0	0-0	0-0	2-0	57	94	69	2020
Marshall 	0	0-0	0-0	0-0	34	68	64	2020
San Diego St 	-0.1	0-0	0-1	0-0	47	72	67	2020
Army 	-0.7	0-0	0-1	0-1	27	75	70	2020
Memphis 	-1	0-0	0-1	1-0	21	71	68	2020
Maryland 	-1.3	0-0	1-2	1-0	68	104	72	2020
San Jose St 	-1.4	0-0	0-0	1-0	62	116	66	2020
Rutgers 	-1.6	0-1	0-2	0-0	69	96	73	2020
Oregon St 	-1.7	0-0	1-1	0-1	70	91	71	2020
Colorado 	-1.9	0-1	0-0	1-1	53	88	65	2020
Texas Tech 	-2	0-3	0-2	1-0	41	79	77	2020
Washington St 	-2.4	0-0	0-2	0-1	60	76	74	2020
South Carolina 	-2.5	0-3	1-0	0-2	22	78	76	2020
Toledo 	-3.4	0-0	0-0	0-0	75	91	79	2020
Wyoming 	-3.7	0-0	0-0	0-1	73	91	80	2020
Michigan St 	-3.8	0-1	1-3	0-0	64	89	78	2020
Georgia So 	-4.4	0-0	0-0	0-2	49	101	86	2020
Nevada 	-4.7	0-0	0-0	0-0	81	114	91	2020
Illinois 	-4.7	0-0	0-4	0-1	69	94	82	2020
W Michigan 	-4.8	0-0	0-0	0-0	62	92	84	2020
Ohio 	-5.2	0-0	0-0	0-0	70	85	83	2020
Florida St 	-5.3	0-1	1-1	0-2	28	91	81	2020
Georgia St 	-6	0-0	0-0	0-2	49	105	94	2020
Miami OH 	-6.1	0-0	0-0	0-0	83	104	89	2020
C Michigan 	-6.4	0-0	0-0	0-0	74	97	92	2020
Troy 	-6.5	0-0	0-1	0-1	46	100	90	2020
E Carolina 	-6.7	0-0	0-1	0-2	62	104	85	2020
Rice 	-6.9	0-0	0-0	0-0	61	113	88	2020
Georgia Tech 	-7.2	0-2	0-0	1-2	44	99	87	2020
Syracuse 	-7.6	0-2	0-1	0-3	44	95	93	2020
Duke 	-8.5	0-1	0-2	0-1	37	95	95	2020
Hawai'i 	-8.7	0-0	0-0	0-1	88	110	104	2020
Navy 	-9.1	0-0	0-1	0-1	24	98	96	2020
UTSA 	-9.2	0-0	0-1	0-1	64	107	97	2020
Kent St 	-9.5	0-0	0-0	0-0	88	110	99	2020
Florida Atlantic 	-10.2	0-0	0-0	0-0	55	101	98	2020
Fresno St 	-10.2	0-0	0-0	0-0	92	112	102	2020
Colorado St 	-10.8	0-0	0-0	0-1	78	106	103	2020
Arkansas St 	-10.8	0-0	0-0	0-2	50	106	101	2020
W Kentucky 	-11.5	0-0	0-1	0-1	48	109	100	2020
E Michigan 	-11.8	0-0	0-0	0-0	105	121	107	2020
Arizona 	-12.2	0-0	0-2	0-1	75	106	106	2020
S Florida 	-13.3	0-1	0-1	0-2	53	113	108	2020
Louisiana Tech 	-13.7	0-0	0-2	0-0	57	108	105	2020
S Alabama 	-14.1	0-0	0-0	0-2	61	113	109	2020
Charlotte 	-14.5	0-0	0-0	0-0	56	111	110	2020
New Mexico 	-14.6	0-0	0-0	0-0	109	120	114	2020
Vanderbilt 	-14.8	0-2	0-0	0-2	56	114	112	2020
Texas St 	-14.8	0-0	0-1	0-2	67	116	113	2020
Temple 	-15.3	0-0	0-0	0-1	50	114	111	2020
N Illinois 	-15.7	0-0	0-0	0-0	105	118	116	2020
Southern Miss 	-15.9	0-0	0-0	0-0	53	120	115	2020
Kansas 	-17.3	0-2	0-2	0-2	56	120	117	2020
Middle Tenn 	-18.6	0-0	0-0	0-0	69	122	118	2020
N Texas 	-19.6	0-0	0-0	0-0	62	121	119	2020
Utah St 	-19.7	0-0	0-0	0-1	98	121	121	2020
Florida Intl 	-20.2	0-0	0-0	0-0	68	121	120	2020
UNLV 	-22.6	0-0	0-0	0-0	118	122	122	2020
UTEP 	-25.1	0-1	0-0	0-0	76	123	123	2020
UL Monroe 	-28.6	0-0	0-0	0-1	70	126	124	2020
Akron 	-31.5	0-0	0-0	0-0	124	126	125	2020
Bowling Green 	-36.9	0-0	0-0	0-0	125	126	126	2020
UMass 	-37.5	0-0	0-0	0-0	127	127	127	2020
Georgia 	33.7	3-1	2-0	3-0	1	5	1	2021
Ohio St 	27.9	0-1	6-0	0-1	2	6	2	2021
Alabama 	27.7	2-1	3-1	5-0	1	3	3	2021
Michigan 	23.2	2-1	2-1	1-0	4	23	4	2021
Notre Dame 	18.7	1-2	1-0	0-0	5	25	5	2021
Cincinnati 	18	1-1	0-0	1-0	4	13	6	2021
Oklahoma 	17.3	0-1	2-1	3-0	3	9	8	2021
Oklahoma St 	17.1	2-0	1-2	3-0	7	62	9	2021
Clemson 	16.3	0-1	2-2	0-0	2	13	10	2021
Wisconsin 	16	0-2	2-2	2-0	5	30	7	2021
Utah 	15.4	0-1	0-0	4-0	11	54	11	2021
Iowa St 	15.1	1-2	0-1	2-1	7	31	15	2021
Texas A&M 	14.5	1-0	1-2	0-2	6	21	13	2021
Baylor 	13.8	2-1	2-0	2-0	14	70	19	2021
Pittsburgh 	13.7	1-0	1-1	1-1	9	43	12	2021
Penn St 	13.6	1-2	1-2	0-1	7	17	14	2021
Mississippi 	13.2	0-1	2-2	3-0	7	27	16	2021
Arkansas 	12	0-2	2-2	3-0	14	39	21	2021
NC State 	11.9	1-0	0-1	0-2	17	48	18	2021
Auburn 	11.9	0-2	2-2	1-2	7	21	17	2021
Wake Forest 	11.4	0-1	1-1	0-0	17	45	22	2021
Purdue 	11.1	0-3	2-1	2-0	20	58	20	2021
Nebraska 	10.7	0-4	0-3	0-1	17	53	23	2021
Minnesota 	10.6	1-1	2-0	0-1	22	59	26	2021
Michigan St 	10.5	1-1	3-1	1-0	19	65	28	2021
Iowa 	10.2	0-2	4-1	0-1	6	26	24	2021
UCLA 	9.9	0-0	0-1	1-2	16	42	25	2021
Texas 	9.8	0-2	0-3	1-0	8	32	32	2021
Tennessee 	9.8	0-2	0-3	1-1	22	74	27	2021
Kentucky 	9	0-1	0-0	3-2	30	70	33	2021
Oregon 	8.4	1-1	0-2	1-0	9	33	29	2021
Miami 	8.4	0-1	2-1	1-0	13	46	30	2021
Kansas St 	8.3	0-2	0-2	1-1	33	65	42	2021
Houston 	8	0-1	1-0	0-0	34	76	40	2021
Florida 	7.9	0-2	0-0	1-2	7	37	31	2021
Boise St 	7.7	0-1	0-0	0-0	29	44	38	2021
Arizona St 	7.1	0-1	0-1	1-0	22	55	39	2021
LSU 	7	0-1	1-3	2-3	10	38	35	2021
App State 	6.7	0-0	0-0	0-1	30	51	36	2021
Mississippi St 	6.4	0-1	3-2	1-1	31	60	34	2021
BYU 	6.1	0-0	1-1	1-1	41	59	41	2021
North Carolina 	5.9	0-1	1-2	1-0	10	42	37	2021
Louisville 	5.6	0-1	0-3	0-1	30	73	43	2021
Louisiana 	5.1	0-0	0-0	2-1	25	77	49	2021
West Virginia 	4.9	0-2	1-2	1-1	18	48	46	2021
SMU 	4.8	0-1	0-0	0-1	40	72	45	2021
W Kentucky 	4.8	0-0	0-1	1-0	44	107	53	2021
Coastal Car 	4.1	0-0	0-0	0-1	24	53	47	2021
Virginia 	3.7	0-1	0-2	1-0	26	55	48	2021
Liberty 	3.7	0-0	0-1	0-0	27	60	60	2021
Oregon St 	3.7	0-0	1-1	1-1	43	75	44	2021
UCF 	3.4	0-1	0-0	2-0	18	58	57	2021
Florida St 	3.2	0-2	0-2	1-1	49	89	50	2021
Army 	2.8	0-1	0-1	0-0	43	76	54	2021
Washington St 	2.7	0-0	0-1	1-1	52	96	52	2021
Air Force 	2.6	0-0	0-0	1-0	55	94	59	2021
Texas Tech 	2.2	0-2	1-1	2-2	50	78	72	2021
Maryland 	2.2	0-2	0-3	0-1	20	79	71	2021
Fresno St 	1.9	0-0	0-0	1-2	41	93	56	2021
Nevada 	1.5	0-0	0-0	1-1	51	74	51	2021
UTSA 	1.5	0-0	0-0	0-0	49	92	58	2021
UAB 	1.3	0-1	0-0	0-0	54	77	67	2021
USC 	1.2	0-1	0-1	0-2	17	64	61	2021
Illinois 	1	0-1	3-1	0-1	61	87	63	2021
South Carolina 	0.8	0-2	1-1	1-2	64	88	73	2021
Marshall 	0.7	0-0	0-0	0-1	44	79	62	2021
Washington 	0.6	0-1	0-0	0-3	23	71	64	2021
California 	0.5	0-0	0-0	0-2	50	82	65	2021
TCU 	0.2	0-2	1-1	0-2	19	73	70	2021
E Carolina 	-0.2	0-1	0-0	0-2	65	88	68	2021
Toledo 	-0.3	0-1	0-0	0-0	51	79	66	2021
Virginia Tech 	-0.6	0-1	0-1	0-1	25	72	55	2021
Boston College 	-0.8	0-1	0-2	0-0	33	73	69	2021
San Diego St 	-1.2	0-0	1-0	1-0	67	98	77	2021
Tulsa 	-1.2	0-3	0-0	0-1	56	94	75	2021
Missouri 	-1.4	0-1	0-2	1-2	42	83	76	2021
Syracuse 	-1.7	0-1	0-3	0-0	59	106	74	2021
Memphis 	-2.6	0-0	0-0	1-1	51	81	79	2021
W Michigan 	-2.7	0-1	1-0	0-0	64	93	85	2021
C Michigan 	-2.8	0-0	0-0	0-1	75	98	80	2021
Utah St 	-3.1	0-0	0-0	0-1	80	121	84	2021
Rutgers 	-3.2	0-3	0-3	0-0	35	92	78	2021
Tulane 	-4	0-2	0-1	0-1	29	90	82	2021
Indiana 	-4.2	0-3	0-4	0-1	19	84	83	2021
Colorado 	-4.4	0-0	0-3	0-3	58	90	81	2021
Miami OH 	-4.6	0-1	0-1	0-0	83	101	87	2021
Georgia St 	-4.6	0-0	0-1	0-1	85	112	89	2021
Georgia Tech 	-5	0-3	0-1	0-1	47	88	86	2021
Stanford 	-5.7	0-1	0-1	1-3	53	89	88	2021
Navy 	-6.2	0-2	0-0	0-1	89	121	90	2021
Middle Tenn 	-7.3	0-0	0-0	0-0	91	113	95	2021
Wyoming 	-7.4	0-0	0-0	0-1	78	100	94	2021
Northwestern 	-7.6	0-2	0-4	0-1	52	93	91	2021
Florida Atlantic 	-8.9	0-0	0-0	0-1	73	97	96	2021
N Illinois 	-9	0-1	0-0	0-0	94	114	97	2021
E Michigan 	-9.4	0-1	0-0	0-0	85	98	93	2021
Ball St 	-9.5	0-0	0-1	0-0	69	107	92	2021
N Texas 	-10.4	0-0	0-0	0-0	98	117	98	2021
Troy 	-10.5	0-0	0-0	0-1	62	101	100	2021
Colorado St 	-10.6	0-0	0-0	0-2	87	121	99	2021
S Florida 	-10.9	0-1	0-1	0-2	98	113	102	2021
Buffalo 	-11	0-0	0-1	0-0	59	104	103	2021
Kent St 	-11.2	0-0	0-1	0-1	90	105	101	2021
Hawai'i 	-11.2	0-0	0-0	0-1	101	110	104	2021
Old Dominion 	-11.3	0-0	0-1	0-0	103	123	105	2021
Arizona 	-12	0-0	0-1	0-3	92	113	106	2021
S Alabama 	-12.5	0-0	0-0	0-2	96	116	107	2021
San Jose St 	-13	0-0	0-0	0-0	76	108	108	2021
Louisiana Tech 	-13.5	0-0	0-1	0-1	92	111	109	2021
UTEP 	-13.9	0-0	0-0	0-1	109	123	110	2021
Ohio 	-15.4	0-0	0-0	0-0	83	120	111	2021
Georgia So 	-15.5	0-0	0-1	0-1	95	115	112	2021
Charlotte 	-17.7	0-0	0-0	0-0	101	118	116	2021
Kansas 	-17.8	0-2	0-2	1-1	114	127	117	2021
UNLV 	-17.8	0-0	0-1	0-1	114	127	114	2021
Duke 	-17.9	0-0	0-2	0-1	92	116	113	2021
Vanderbilt 	-18	0-1	0-1	0-4	106	122	115	2021
Southern Miss 	-18.6	0-1	0-0	0-0	102	124	118	2021
Rice 	-18.6	0-0	0-1	0-2	97	123	120	2021
Arkansas St 	-18.8	0-0	0-0	0-1	98	120	119	2021
Texas St 	-18.9	0-0	0-1	0-0	100	122	121	2021
UL Monroe 	-19	0-0	0-0	0-3	121	127	122	2021
Bowling Green 	-20.7	0-0	1-0	0-1	115	128	123	2021
New Mexico 	-22.3	0-0	0-1	0-1	117	124	124	2021
Temple 	-24.7	0-1	0-0	0-1	111	125	125	2021
Akron 	-27.3	0-1	0-1	0-0	124	128	126	2021
New Mexico St 	-27.4	0-1	0-0	0-1	126	130	127	2021
Florida Intl 	-28	0-0	0-0	0-0	108	128	128	2021
UConn 	-28.9	0-1	0-1	0-1	124	130	129	2021
UMass 	-34	0-0	0-1	0-0	127	130	130	2021
Georgia 	33.5	3-0	3-0	2-0	1	3	1	2022
Ohio St 	29.8	1-2	1-0	3-0	1	3	2	2022
Alabama 	29.6	2-2	2-0	2-0	1	3	3	2022
Tennessee 	26.2	2-1	1-0	2-1	4	14	5	2022
Michigan 	25.5	2-0	1-1	2-0	4	6	4	2022
Penn St 	21.6	1-2	1-0	1-0	6	18	7	2022
Texas 	20.5	1-1	1-3	1-1	4	14	6	2022
Utah 	18.8	0-1	3-1	0-2	5	17	9	2022
LSU 	18.7	1-2	2-1	2-1	9	29	13	2022
Kansas St 	18.2	0-2	3-1	2-1	7	35	8	2022
TCU 	17.2	3-2	2-0	2-0	8	38	10	2022
Florida St 	16.6	1-0	2-1	1-2	11	40	12	2022
Clemson 	16.6	0-1	2-1	2-1	4	14	11	2022
USC 	14.8	0-2	2-0	1-1	4	14	14	2022
Mississippi St 	14.8	0-3	2-0	2-0	11	21	16	2022
Oregon 	14.2	1-1	0-2	1-0	12	46	15	2022
Notre Dame 	13.4	0-1	1-1	1-0	6	27	17	2022
Minnesota 	12.5	0-1	0-1	1-1	10	36	20	2022
Washington 	12.5	1-0	2-0	0-1	18	48	23	2022
Oregon St 	12.3	0-1	1-2	1-0	19	54	25	2022
Mississippi 	12.1	0-2	0-2	1-1	10	24	19	2022
Louisville 	11.8	0-0	0-2	4-0	21	64	24	2022
Oklahoma 	11.8	0-2	0-3	1-1	5	31	21	2022
Illinois 	11.1	0-1	1-1	2-0	22	69	22	2022
Texas Tech 	11.1	1-1	2-1	0-3	18	46	26	2022
Baylor 	10.8	0-2	2-1	0-1	10	26	18	2022
Tulane 	10.5	1-0	1-0	1-1	26	74	27	2022
Wisconsin 	10	0-1	0-2	2-1	11	40	29	2022
UCLA 	8.9	1-0	1-2	0-1	23	44	31	2022
Iowa 	8.9	0-2	1-1	1-0	25	59	40	2022
Florida 	8.7	1-3	0-2	2-0	24	47	28	2022
Arkansas 	8.7	0-2	1-1	1-1	20	46	33	2022
Wake Forest 	8.5	0-0	1-2	0-1	21	50	36	2022
Maryland 	8.5	0-3	0-0	1-1	25	52	34	2022
Pittsburgh 	8.4	0-1	0-1	1-0	25	53	38	2022
Oklahoma St 	8.3	1-1	1-2	1-1	8	36	30	2022
UCF 	8	0-0	0-1	1-1	14	48	32	2022
NC State 	7.9	0-0	2-2	1-1	16	39	39	2022
South Carolina 	7.9	1-1	1-1	1-2	31	58	37	2022
Texas A&M 	7.9	1-1	0-2	1-2	7	47	43	2022
Kentucky 	7	0-2	2-1	1-2	17	49	35	2022
Iowa St 	6.9	0-2	0-3	1-2	26	44	41	2022
Cincinnati 	6.7	0-0	0-1	0-3	23	44	44	2022
North Carolina 	5.8	0-0	0-3	2-1	36	54	52	2022
Auburn 	5.8	0-4	0-2	1-1	27	64	51	2022
Syracuse 	5.7	0-0	1-4	1-2	20	65	46	2022
Michigan St 	5.6	0-3	1-2	1-1	14	52	47	2022
J Madison 	5.3	0-0	0-1	0-0	34	96	49	2022
Kansas 	5	0-2	0-3	1-2	33	97	48	2022
Memphis 	4.9	0-0	0-1	0-2	50	76	55	2022
Purdue 	4.8	0-3	2-0	1-2	24	52	42	2022
West Virginia 	4.8	0-2	1-2	2-1	31	62	50	2022
Washington St 	4.5	0-1	0-4	1-0	41	87	45	2022
Duke 	4.3	0-0	0-0	2-1	54	116	59	2022
Houston 	4.2	0-0	0-1	0-1	33	62	54	2022
SMU 	4.1	0-0	0-1	0-3	23	56	53	2022
Fresno St 	3.8	0-0	0-2	0-0	55	88	61	2022
Missouri 	3.5	0-3	0-0	2-2	53	76	57	2022
UTSA 	3.4	0-1	0-0	0-0	54	71	56	2022
Air Force 	3.1	0-0	0-0	1-0	50	73	65	2022
Boise St 	3	0-0	0-1	0-0	46	82	58	2022
W Kentucky 	2.9	0-0	0-0	0-0	56	100	63	2022
BYU 	2.4	0-0	0-2	1-1	15	64	60	2022
E Carolina 	2.4	0-0	0-0	1-2	47	72	66	2022
App State 	1.8	0-0	0-0	1-0	47	66	62	2022
Troy 	1.7	0-0	0-1	0-0	63	94	67	2022
Marshall 	1.2	0-0	1-0	0-0	42	73	64	2022
Nebraska 	-0.4	0-1	0-3	1-1	34	84	69	2022
UAB 	-0.6	0-1	0-0	0-0	42	70	70	2022
S Alabama 	-0.9	0-0	0-0	0-1	61	110	68	2022
Miami 	-1.2	0-0	0-2	0-2	11	71	71	2022
Navy 	-2.6	0-0	0-1	1-0	72	118	73	2022
Louisiana 	-2.7	0-0	0-1	0-0	68	92	72	2022
California 	-2.9	0-0	0-5	0-1	67	85	74	2022
Army 	-3	0-0	0-0	0-1	65	100	76	2022
Toledo 	-3	0-1	0-0	0-0	56	82	77	2022
Arizona St 	-3.1	0-1	1-2	0-2	55	83	75	2022
Indiana 	-3.6	0-3	1-0	0-1	76	86	78	2022
Arizona 	-3.7	0-1	0-4	1-0	74	101	79	2022
Stanford 	-4.3	0-1	1-4	0-1	62	81	80	2022
Georgia St 	-4.3	0-0	0-0	0-1	74	105	81	2022
Liberty 	-4.6	0-0	0-0	1-1	61	86	82	2022
Virginia 	-4.7	0-0	0-2	0-1	54	87	83	2022
Ohio 	-5.2	0-1	0-0	0-0	82	113	85	2022
Georgia Tech 	-5.3	0-1	0-3	1-1	85	107	88	2022
Tulsa 	-5.3	0-0	0-1	0-1	69	96	86	2022
N Texas 	-5.3	0-0	0-0	0-0	80	112	89	2022
Georgia So 	-5.5	0-0	0-0	0-0	75	108	84	2022
Virginia Tech 	-6	0-0	0-0	0-2	63	93	92	2022
Kent St 	-6.1	0-1	0-2	0-0	76	108	95	2022
San Diego St 	-6.2	0-1	0-0	0-0	76	109	91	2022
Vanderbilt 	-6.2	0-3	0-1	1-2	78	113	93	2022
Coastal Car 	-6.5	0-0	0-0	0-0	65	94	87	2022
Florida Atlantic 	-6.6	0-0	0-0	0-1	82	99	94	2022
Southern Miss 	-6.8	0-0	0-0	1-0	78	106	96	2022
San Jose St 	-7	0-0	0-0	0-0	67	114	90	2022
Rutgers 	-7	0-3	0-1	0-2	57	97	97	2022
Northwestern 	-7.3	0-2	0-2	0-3	72	108	98	2022
Buffalo 	-8.3	0-0	0-0	0-1	87	118	100	2022
Boston College 	-8.5	0-0	1-3	1-1	56	105	99	2022
Middle Tenn 	-9	0-0	0-0	0-0	86	118	101	2022
Old Dominion 	-9.7	0-0	0-0	0-0	83	104	102	2022
E Michigan 	-9.7	0-0	0-0	0-0	101	120	107	2022
C Michigan 	-9.8	0-1	0-0	0-1	73	104	103	2022
Miami OH 	-10	0-0	0-0	0-0	90	109	104	2022
Wyoming 	-10.4	0-0	0-1	0-0	99	117	105	2022
S Florida 	-10.9	0-0	0-1	0-3	88	110	106	2022
Ball St 	-11.8	0-1	0-0	0-0	106	120	108	2022
UNLV 	-11.9	0-0	0-1	0-0	87	119	109	2022
W Michigan 	-12.4	0-0	0-0	0-1	91	118	110	2022
N Illinois 	-12.6	0-0	0-0	0-0	80	113	113	2022
UTEP 	-12.7	0-0	0-1	0-0	111	124	112	2022
Temple 	-12.9	0-0	0-0	0-1	113	126	115	2022
Arkansas St 	-13	0-1	0-0	0-0	89	120	114	2022
Utah St 	-13.1	0-1	0-0	0-0	83	121	111	2022
Texas St 	-14	0-0	0-0	0-1	110	124	116	2022
Bowling Green 	-15	0-0	0-1	0-1	109	121	117	2022
UL Monroe 	-15.1	0-2	0-0	0-0	114	124	118	2022
UConn 	-15.2	0-1	0-0	0-1	117	128	120	2022
Rice 	-15.6	0-0	0-1	0-0	99	124	119	2022
New Mexico St 	-15.7	0-0	0-1	0-1	121	130	121	2022
Louisiana Tech 	-16.7	0-0	0-1	0-0	110	122	122	2022
Colorado 	-17.7	0-1	0-6	0-1	87	123	123	2022
Akron 	-18.4	0-1	0-0	0-0	123	127	125	2022
Colorado St 	-18.7	0-1	0-0	0-0	103	126	124	2022
Nevada 	-19.3	0-0	0-0	0-1	106	126	126	2022
New Mexico 	-20.9	0-1	0-0	0-0	111	128	128	2022
Charlotte 	-21.3	0-0	0-0	0-2	115	128	127	2022
Hawai'i 	-22.3	0-1	0-0	0-0	125	131	129	2022
UMass 	-26.5	0-0	0-0	0-2	128	131	130	2022
Florida Intl 	-29.2	0-0	0-0	0-0	128	131	131	2022
Michigan 	30.3	3-0	1-0	1-0	1	13	1	2023
Georgia 	29.7	0-1	4-0	3-0	1	10	5	2023
Oregon 	27.1	0-0	3-2	1-0	3	15	3	2023
Ohio St 	25.9	2-1	0-1	2-0	2	12	2	2023
Penn St 	24.6	0-2	0-1	1-0	2	11	4	2023
Alabama 	24.3	2-2	3-0	2-0	1	11	7	2023
Texas 	23.9	1-1	2-1	3-0	3	12	6	2023
Notre Dame 	23.6	0-1	2-2	2-0	8	15	11	2023
LSU 	22.8	0-1	2-2	3-0	4	16	8	2023
Oklahoma 	21.6	1-0	1-2	2-0	1	17	9	2023
Kansas St 	19.5	0-1	1-1	4-1	11	25	12	2023
Florida St 	19.2	1-1	2-0	3-0	1	15	10	2023
Washington 	19.1	3-1	4-0	0-0	3	14	13	2023
Missouri 	17.5	1-2	2-0	2-0	14	51	16	2023
Mississippi 	17.3	2-2	1-0	1-0	11	18	15	2023
Tennessee 	16.9	0-2	1-1	1-1	9	21	17	2023
Texas A&M 	15.2	0-2	0-2	1-1	12	17	14	2023
USC 	14	0-2	2-2	0-1	4	21	21	2023
Clemson 	13.9	1-0	0-1	2-3	7	21	18	2023
Arizona 	12.8	1-0	2-2	1-0	20	75	23	2023
SMU 	12.6	0-1	0-0	0-1	17	51	19	2023
Oregon St 	12.5	0-2	1-2	1-0	17	30	20	2023
Louisville 	11.7	1-0	0-2	3-1	18	43	22	2023
Kansas 	9.8	1-1	0-1	1-1	24	55	27	2023
Utah 	9.6	0-1	1-3	2-0	16	29	25	2023
Miami 	9.5	0-0	2-2	0-2	16	41	24	2023
Duke 	9.4	0-1	1-2	2-1	19	49	29	2023
Maryland 	9.3	0-3	0-0	1-0	25	47	32	2023
TCU 	8.9	0-2	1-1	0-2	21	40	30	2023
Auburn 	8.4	0-3	0-2	0-1	18	36	28	2023
North Carolina 	8.1	0-0	0-1	2-1	16	33	26	2023
UCLA 	8.1	0-0	1-3	0-0	18	37	37	2023
Kentucky 	7.9	0-2	1-3	1-0	23	49	39	2023
NC State 	7.7	0-1	1-2	2-1	33	62	35	2023
Florida 	7.6	0-2	1-3	0-1	28	39	38	2023
Troy 	7.3	0-0	0-1	0-2	35	81	36	2023
Iowa St 	7.3	0-2	1-1	1-0	30	74	31	2023
Texas Tech 	7.1	0-2	1-1	1-0	22	43	42	2023
J Madison 	7	0-0	0-0	1-0	33	70	33	2023
Wisconsin 	6.9	0-2	0-0	0-0	19	45	41	2023
West Virginia 	6.8	0-2	0-0	3-0	36	58	44	2023
UCF 	6.6	0-1	0-2	0-1	22	53	34	2023
South Carolina 	6.4	0-1	0-4	1-2	31	52	43	2023
Oklahoma St 	5.7	1-1	3-0	0-1	33	91	48	2023
Iowa 	5.2	0-2	0-1	2-0	25	45	40	2023
Washington St 	5	0-1	1-2	1-1	29	63	46	2023
Memphis 	4.8	0-0	0-2	1-0	41	53	51	2023
Virginia Tech 	4.8	0-0	0-2	0-1	47	91	50	2023
Rutgers 	4.2	0-3	0-0	1-2	41	86	53	2023
Boise St 	4.2	0-0	0-1	0-1	44	75	47	2023
Liberty 	4	0-1	0-0	0-0	44	76	45	2023
S Alabama 	4	0-0	0-0	0-2	38	82	57	2023
Georgia Tech 	3.2	0-1	0-3	2-0	53	89	55	2023
Tulane 	3.1	0-0	0-2	0-0	25	54	49	2023
UTSA 	2.9	0-0	0-1	0-0	43	76	56	2023
California 	2.3	0-1	0-4	1-2	32	64	52	2023
Arkansas 	2.3	0-2	0-3	1-1	27	57	54	2023
Air Force 	1.8	0-0	0-0	1-0	31	62	61	2023
Nebraska 	1.1	0-1	0-0	0-2	49	76	60	2023
Toledo 	0.9	0-0	0-0	0-0	31	61	58	2023
Mississippi St 	0.9	0-2	1-2	0-2	31	64	62	2023
San Jose St 	0.4	0-0	0-2	0-0	54	90	59	2023
