,index,fav_side,dog_side,full_date,away_score,home_score,away,home,ou_total,spread,ou,spread_away_cover,spread_home_cover,ml_fav,ml_dog,match_key,game_id,favorite_covered
9613,9736,home,away,2020-12-05,48,50,Arkansas,Missouri,55.5,2.5,O,y,n,-5000,120,Arkansas_Missouri,2020-12-5_Arkansas_Missouri,n
9604,9727,away,home,2020-12-05,31,20,FCS,Auburn,49.0,5.5,O,y,n,-404.5111111111111,991.0444444444445,Auburn_FCS,2020-12-5_Auburn_FCS,y
9617,9741,away,home,2020-12-05,17,22,BYU,Coastal Carolina,62.0,10.5,U,y,n,-421.2708333333333,438.6041666666667,BYU_Coastal Carolina,2020-12-5_BYU_Coastal Carolina,n
9587,9710,away,home,2020-12-05,45,20,Ball State,Central Michigan,63.0,3.0,O,y,n,-150,400,Ball State_Central Michigan,2020-12-5_Ball State_Central Michigan,y
9603,9726,home,away,2020-12-05,14,27,Baylor,Oklahoma,61.5,23.0,U,y,n,-210,1000,Baylor_Oklahoma,2020-12-5_Baylor_Oklahoma,n
9580,9703,home,away,2020-12-05,32,43,Boston College,Virginia,52.5,6.0,O,y,n,-524.776119402985,786.1044776119403,Boston College_Virginia,2020-12-5_Boston College_Virginia,y
9597,9720,away,home,2020-12-05,17,21,Oregon,California,59.5,9.5,U,y,n,-135,437.7307692307692,California_Oregon,2020-12-5_California_Oregon,n
9579,9702,away,home,2020-12-05,45,10,Clemson,Virginia Tech,66.5,23.5,U,n,y,-3000,200,Clemson_Virginia Tech,2020-12-5_Clemson_Virginia Tech,y
9608,9731,home,away,2020-12-05,17,29,Colorado State,San Diego State,45.5,7.5,O,y,n,-367.5833333333333,977.5555555555555,Colorado State_San Diego State,2020-12-5_Colorado State_San Diego State,y
9615,9738,away,home,2020-12-05,48,0,Miami FL,Duke,62.0,14.5,U,n,y,-155,496.3421052631579,Duke_Miami FL,2020-12-5_Duke_Miami FL,y
9588,9711,home,away,2020-12-05,53,42,Eastern Michigan,Western Michigan,67.0,13.5,O,y,n,-448.22222222222223,1511.4888888888888,Eastern Michigan_Western Michigan,2020-12-5_Eastern Michigan_Western Michigan,n
9585,9708,away,home,2020-12-05,3,20,FCS,Georgia Southern,40.5,1.5,U,y,n,-125,120,FCS_Georgia Southern,2020-12-5_FCS_Georgia Southern,n
9590,9713,away,home,2020-12-05,31,19,Florida,Tennessee,63.0,18.0,U,n,y,-813.6111111111111,666.3888888888889,Florida_Tennessee,2020-12-5_Florida_Tennessee,n
9596,9719,home,away,2020-12-05,26,37,Fresno State,Nevada,59.0,6.5,O,y,n,-398.2073170731707,667.0243902439024,Fresno State_Nevada,2020-12-5_Fresno State_Nevada,y
9616,9739,away,home,2020-12-05,35,24,San Jose State,Hawaii,60.5,3.0,U,y,n,-276.2142857142857,695.625,Hawaii_San Jose State,2020-12-5_Hawaii_San Jose State,y
9606,9729,away,home,2020-12-05,35,21,Iowa,Illinois,52.5,13.5,O,y,n,-448.22222222222223,1511.4888888888888,Illinois_Iowa,2020-12-5_Illinois_Iowa,y
9600,9723,home,away,2020-12-05,14,6,Indiana,Wisconsin,44.5,13.0,U,y,n,-462.03125,577.53125,Indiana_Wisconsin,2020-12-5_Indiana_Wisconsin,n
