,index,full_date,spread,ou,ou_total,home,away,match_key,game_id,home_score,away_score,fav_side,dog_side,favorite_covered,spread_away_cover,spread_home_cover,ml_fav,ml_dog
867,871,2024-09-07,21.0,U,53.5,Virginia Tech,Marshall,Marshall_Virginia Tech,2024-09-07_Marshall_Virginia Tech,31,14,away,home,n,y,n,-855.2,704.6285714285714
876,880,2024-09-07,8.5,O,44.5,Maryland,Michigan State,Maryland_Michigan State,2024-09-07_Maryland_Michigan State,24,27,home,away,n,y,n,-370.22222222222223,1141.0740740740741
891,895,2024-09-07,17.5,O,51.5,Toledo,Massachusetts,Massachusetts_Toledo,2024-09-07_Massachusetts_Toledo,38,23,away,home,n,y,n,-678.28125,564.25
900,905,2024-09-07,18.5,U,56.0,Memphis,Troy,Memphis_Troy,2024-09-07_Memphis_Troy,38,17,home,away,y,n,y,-645.2941176470588,748.2352941176471
959,964,2024-09-07,6.5,O,42.0,Michigan,Texas,Michigan_Texas,2024-09-07_Michigan_Texas,12,31,away,home,y,y,n,-398.2073170731707,667.0243902439024
1026,1031,2024-09-07,8.5,O,60.0,NC State,Tennessee,NC State_Tennessee,2024-09-07_NC State_Tennessee,10,51,away,home,y,y,n,-370.22222222222223,1141.0740740740741
1018,1023,2024-09-07,11.5,O,42.5,Navy,Temple,Navy_Temple,2024-09-07_Navy_Temple,38,11,home,away,y,n,y,-495.29411764705884,393.0
1078,1083,2024-09-07,28.0,U,47.5,Notre Dame,Northern Illinois,Northern Illinois_Notre Dame,2024-09-07_Northern Illinois_Notre Dame,14,16,away,home,n,n,y,-1864.1538461538462,2040.3846153846155
1129,1134,2024-09-07,37.0,O,54.5,Ohio State,Western Michigan,Ohio State_Western Michigan,2024-09-07_Ohio State_Western Michigan,56,0,home,away,y,n,y,-151.25,8257.5
1125,1130,2024-09-07,1.0,U,55.5,Ohio,South Alabama,Ohio_South Alabama,2024-09-07_Ohio_South Alabama,27,20,away,home,n,n,y,-180.61666666666667,415.98333333333335
